Repository Name,Repository Location,Source Code Present,Documentation Present,Tests Present,Configs Present,Assets Present
feature_2,plugins\ai_systems\feature_2,No,No,No,No,No
formatting,plugins\ai_systems\formatting,No,No,No,No,No
frontmatter,plugins\ai_systems\frontmatter,No,No,No,No,No
generate-totp,plugins\ai_systems\generate-totp,No,No,No,No,No
git-manager,plugins\ai_systems\git-manager,No,No,No,No,No
ground-truth-agent,plugins\ai_systems\ground-truth-agent,No,No,No,No,No
group,plugins\ai_systems\group,No,No,No,No,No
hitl_context,plugins\ai_systems\hitl_context,No,No,No,No,No
hitl_middleware,plugins\ai_systems\hitl_middleware,No,No,No,No,No
holder,plugins\ai_systems\holder,No,No,No,No,No
HttpMessageFormatter,plugins\ai_systems\HttpMessageFormatter,No,No,No,No,No
impact-exfiltration,plugins\ai_systems\impact-exfiltration,No,No,No,No,No
index,plugins\ai_systems\index,No,No,No,No,No
index_12,plugins\ai_systems\index_12,No,No,No,No,No
index_3,plugins\ai_systems\index_3,No,No,No,No,No
index_4,plugins\ai_systems\index_4,No,Yes,No,Yes,No
index_9,plugins\ai_systems\index_9,No,No,No,No,No
install_preferences,plugins\ai_systems\install_preferences,No,No,No,No,No
interrupt,plugins\ai_systems\interrupt,No,No,No,No,No
lateral-movement,plugins\ai_systems\lateral-movement,No,No,No,No,No
layout,plugins\ai_systems\layout,No,No,No,No,No
listener_tcp,plugins\ai_systems\listener_tcp,No,No,No,No,No
log-stream,plugins\ai_systems\log-stream,No,No,No,No,No
logger,plugins\ai_systems\logger,No,No,No,No,No
logger_1,plugins\ai_systems\logger_1,No,No,No,No,No
login-instructions,plugins\ai_systems\login-instructions,No,No,No,No,No
login-instructions_1,plugins\ai_systems\login-instructions_1,No,No,No,No,No
logo,plugins\ai_systems\logo,No,No,No,No,No
main_12,plugins\ai_systems\main_12,No,No,No,No,No
main_3,plugins\ai_systems\main_3,No,Yes,No,Yes,No
main_8,plugins\ai_systems\main_8,No,Yes,No,Yes,No
markdown_orchestrator_test,plugins\ai_systems\markdown_orchestrator_test,No,No,No,No,No
mcp_pent_claude_agent,plugins\ai_systems\mcp_pent_claude_agent,No,No,No,No,No
mcp_tools,plugins\ai_systems\mcp_tools,No,No,No,No,No
memory,plugins\ai_systems\memory,No,No,No,No,No
metrics,plugins\ai_systems\metrics,No,No,No,No,No
models,plugins\ai_systems\models,No,Yes,No,Yes,No
model_manager,plugins\ai_systems\model_manager,No,No,No,No,No
multi_agent_prepare,plugins\ai_systems\multi_agent_prepare,No,No,No,No,No
navigator,plugins\ai_systems\navigator,No,No,No,No,No
normalize_streaming_delta_test,plugins\ai_systems\normalize_streaming_delta_test,No,No,No,No,No
normalize_streaming_eof_test,plugins\ai_systems\normalize_streaming_eof_test,No,No,No,No,No
opsec-evasion,plugins\ai_systems\opsec-evasion,No,No,No,No,No
orchestratortest,plugins\ai_systems\orchestratortest,No,No,No,No,No
orchestrator_instruction,plugins\ai_systems\orchestrator_instruction,No,No,No,No,No
orphan_tool_pruner_middleware_test,plugins\ai_systems\orphan_tool_pruner_middleware_test,No,No,No,No,No
otel,plugins\ai_systems\otel,No,No,No,No,No
package-lock_1,plugins\ai_systems\package-lock_1,No,No,No,No,No
package_2,plugins\ai_systems\package_2,No,No,No,No,No
package_4,plugins\ai_systems\package_4,No,No,No,No,No
paths_1,plugins\ai_systems\paths_1,No,No,No,No,No
payload_builder,plugins\ai_systems\payload_builder,No,No,No,No,No
PentestGPT_design,plugins\ai_systems\PentestGPT_design,No,No,No,No,No
persistence-maintenance,plugins\ai_systems\persistence-maintenance,No,No,No,No,No
plan_execute_executor,plugins\ai_systems\plan_execute_executor,No,No,No,No,No
plan_execute_steps_cap,plugins\ai_systems\plan_execute_steps_cap,No,No,No,No,No
plan_execute_steps_cap_test,plugins\ai_systems\plan_execute_steps_cap_test,No,No,No,No,No
plan_execute_text,plugins\ai_systems\plan_execute_text,No,No,No,No,No
plan_execute_text_test,plugins\ai_systems\plan_execute_text_test,No,No,No,No,No
plugin_3,plugins\ai_systems\plugin_3,No,Yes,No,Yes,No
plugin_center,plugins\ai_systems\plugin_center,No,No,No,No,No
pnpm-workspace,plugins\ai_systems\pnpm-workspace,No,No,No,No,No
portscan-all-tcp-ports,plugins\ai_systems\portscan-all-tcp-ports,No,No,No,No,No
portscan-top-100-udp-ports,plugins\ai_systems\portscan-top-100-udp-ports,No,No,No,No,No
pre-commit-config,plugins\ai_systems\pre-commit-config,No,No,No,No,No
pre-recon-code_3,plugins\ai_systems\pre-recon-code_3,No,No,No,No,No
privilege-escalation,plugins\ai_systems\privilege-escalation,No,No,No,No,No
production,plugins\ai_systems\production,No,No,No,No,No
progress-manager,plugins\ai_systems\progress-manager,No,No,No,No,No
prompt-manager,plugins\ai_systems\prompt-manager,No,No,No,No,No
prompts,plugins\ai_systems\prompts,No,Yes,No,Yes,No
prompt_select,plugins\ai_systems\prompt_select,No,No,No,No,No
README_14,plugins\ai_systems\README_14,No,No,No,No,No
README_34,plugins\ai_systems\README_34,No,No,No,No,No
README_35,plugins\ai_systems\README_35,No,No,No,No,No
README_40,plugins\ai_systems\README_40,No,No,No,No,No
reasoning_trace,plugins\ai_systems\reasoning_trace,No,No,No,No,No
reasoning_trace_test,plugins\ai_systems\reasoning_trace_test,No,No,No,No,No
reconftw_prox_deploy,plugins\ai_systems\reconftw_prox_deploy,No,No,No,No,No
recon_3,plugins\ai_systems\recon_3,No,No,No,No,No
registry_4,plugins\ai_systems\registry_4,No,No,No,No,No
registry_8,plugins\ai_systems\registry_8,No,No,No,No,No
registry_bridge,plugins\ai_systems\registry_bridge,No,No,No,No,No
remediation-agent,plugins\ai_systems\remediation-agent,No,No,No,No,No
report-output-provider,plugins\ai_systems\report-output-provider,No,No,No,No,No
reporting-remediation,plugins\ai_systems\reporting-remediation,No,No,No,No,No
report_agent,plugins\ai_systems\report_agent,No,No,No,No,No
result,plugins\ai_systems\result,No,No,No,No,No
role,plugins\ai_systems\role,No,No,No,No,No
router,plugins\ai_systems\router,No,No,No,No,No
runner_reasoning_history_test,plugins\ai_systems\runner_reasoning_history_test,No,No,No,No,No
run_context,plugins\ai_systems\run_context,No,No,No,No,No
save-deliverable,plugins\ai_systems\save-deliverable,No,No,No,No,No
service_1,plugins\ai_systems\service_1,No,No,No,No,No
settings_3,plugins\ai_systems\settings_3,No,No,No,No,No
settings_4,plugins\ai_systems\settings_4,No,No,No,No,No
skills,plugins\ai_systems\skills,No,No,No,No,No
splash,plugins\ai_systems\splash,No,No,No,No,No
sse_stream,plugins\ai_systems\sse_stream,No,No,No,No,No
styles,plugins\ai_systems\styles,No,No,No,No,No
summary-mapper,plugins\ai_systems\summary-mapper,No,No,No,No,No
task_handler,plugins\ai_systems\task_handler,No,No,No,No,No
task_manager,plugins\ai_systems\task_manager,No,No,No,No,No
task_processor,plugins\ai_systems\task_processor,No,No,No,No,No
task_tree_manager,plugins\ai_systems\task_tree_manager,No,No,No,No,No
test-multibar,plugins\ai_systems\test-multibar,No,No,No,No,No
test_async_prompt,plugins\ai_systems\test_async_prompt,No,No,No,No,No
test_backend_interface,plugins\ai_systems\test_backend_interface,No,No,No,No,No
test_base_agent_coverage,plugins\ai_systems\test_base_agent_coverage,No,No,No,No,No
test_controller,plugins\ai_systems\test_controller,No,No,No,No,No
test_cost_tracker,plugins\ai_systems\test_cost_tracker,No,No,No,No,No
test_events,plugins\ai_systems\test_events,No,No,No,No,No
test_install_planner,plugins\ai_systems\test_install_planner,No,No,No,No,No
test_integration,plugins\ai_systems\test_integration,No,No,No,No,No
test_langfuse,plugins\ai_systems\test_langfuse,No,No,No,No,No
test_mcp_auth_session_reuse,plugins\ai_systems\test_mcp_auth_session_reuse,No,No,No,No,No
test_mcp_client_and_hitl,plugins\ai_systems\test_mcp_client_and_hitl,No,No,No,No,No
test_mcp_server,plugins\ai_systems\test_mcp_server,No,No,No,No,No
test_output_parser,plugins\ai_systems\test_output_parser,No,No,No,No,No
test_playbook,plugins\ai_systems\test_playbook,No,No,No,No,No
test_stage2_integration,plugins\ai_systems\test_stage2_integration,No,No,No,No,No
test_trigger_system,plugins\ai_systems\test_trigger_system,No,No,No,No,No
test_web_agent_set_auth,plugins\ai_systems\test_web_agent_set_auth,No,No,No,No,No
tmux_manager,plugins\ai_systems\tmux_manager,No,No,No,No,No
tool_error_middleware,plugins\ai_systems\tool_error_middleware,No,No,No,No,No
tool_error_middleware_test,plugins\ai_systems\tool_error_middleware_test,No,No,No,No,No
tool_invoke_notify,plugins\ai_systems\tool_invoke_notify,No,No,No,No,No
tracer,plugins\ai_systems\tracer,No,No,No,No,No
trigger_system,plugins\ai_systems\trigger_system,No,No,No,No,No
truncate_test,plugins\ai_systems\truncate_test,No,No,No,No,No
tsdownconfig,plugins\ai_systems\tsdownconfig,No,No,No,No,No
tui,plugins\ai_systems\tui,No,No,No,No,No
types_7,plugins\ai_systems\types_7,No,No,No,No,No
utils,plugins\ai_systems\utils,Yes,Yes,No,Yes,No
validate,plugins\ai_systems\validate,No,No,No,No,No
validate-authentication,plugins\ai_systems\validate-authentication,No,No,No,No,No
validation-harness,plugins\ai_systems\validation-harness,No,No,No,No,No
vulnerability-triage,plugins\ai_systems\vulnerability-triage,No,No,No,No,No
Web,plugins\ai_systems\Web,No,Yes,No,No,No
webshell_context,plugins\ai_systems\webshell_context,No,No,No,No,No
webshell_context_test,plugins\ai_systems\webshell_context_test,No,No,No,No,No
webshell_probe,plugins\ai_systems\webshell_probe,No,No,No,No,No
wechat,plugins\ai_systems\wechat,No,No,No,No,No
wireless_agent,plugins\ai_systems\wireless_agent,No,No,No,No,No
workflow-logger,plugins\ai_systems\workflow-logger,No,No,No,No,No
workflow_engine,plugins\ai_systems\workflow_engine,No,No,No,No,No
_14,plugins\ai_systems\_14,No,No,No,No,No
_rules_1,plugins\ai_systems\_rules_1,No,No,No,No,No
_target_1,plugins\ai_systems\_target_1,No,No,No,No,No
__init___109,plugins\ai_systems\__init___109,No,No,No,No,No
__init___11,plugins\ai_systems\__init___11,No,No,No,No,No
__init___141,plugins\ai_systems\__init___141,No,No,No,No,No
__init___144,plugins\ai_systems\__init___144,No,No,No,No,No
__init___17,plugins\ai_systems\__init___17,No,No,No,No,No
__init___202,plugins\ai_systems\__init___202,No,No,No,No,No
__init___211,plugins\ai_systems\__init___211,No,No,No,No,No
__init___29,plugins\ai_systems\__init___29,No,No,No,No,No
__init___31,plugins\ai_systems\__init___31,No,No,No,No,No
__init___50,plugins\ai_systems\__init___50,No,No,No,No,No
__init___52,plugins\ai_systems\__init___52,No,No,No,No,No
__init___6,plugins\ai_systems\__init___6,No,No,No,No,No
__init___70,plugins\ai_systems\__init___70,No,No,No,No,No
activities,plugins\api_security\activities,No,No,No,No,No
agent-execution,plugins\api_security\agent-execution,No,No,No,No,No
agents,plugins\api_security\agents,No,Yes,No,Yes,No
agent_1,plugins\api_security\agent_1,No,No,No,No,No
agent_runner,plugins\api_security\agent_runner,No,No,No,No,No
agent_test,plugins\api_security\agent_test,No,No,No,No,No
anthropic_agent,plugins\api_security\anthropic_agent,No,No,No,No,No
anthropic_official,plugins\api_security\anthropic_official,No,No,No,No,No
api,plugins\api_security\api,No,No,No,No,No
api-discoverer-agent,plugins\api_security\api-discoverer-agent,No,No,No,No,No
api-discovery,plugins\api_security\api-discovery,No,No,No,No,No
api-discoverytest,plugins\api_security\api-discoverytest,No,No,No,No,No
api-docs,plugins\api_security\api-docs,No,No,No,No,No
api-schema-analyzer,plugins\api_security\api-schema-analyzer,No,No,No,No,No
apitest,plugins\api_security\apitest,No,No,No,No,No
api_authentication,plugins\api_security\api_authentication,No,No,No,No,No
api_pipeline,plugins\api_security\api_pipeline,No,No,No,No,No
app,plugins\api_security\app,No,Yes,No,Yes,No
app_2,plugins\api_security\app_2,No,No,No,No,No
app_config,plugins\api_security\app_config,No,No,No,No,No
asvs-mapper,plugins\api_security\asvs-mapper,No,No,No,No,No
async_prompt,plugins\api_security\async_prompt,No,No,No,No,No
attackchain,plugins\api_security\attackchain,No,No,No,No,No
audit,plugins\api_security\audit,No,No,No,No,No
audit-session,plugins\api_security\audit-session,No,No,No,No,No
audit_1,plugins\api_security\audit_1,No,No,No,No,No
aup_consent,plugins\api_security\aup_consent,No,No,No,No,No
auth,plugins\api_security\auth,No,Yes,No,Yes,No
auth_analyzer,plugins\api_security\auth_analyzer,No,No,No,No,No
auth_cache,plugins\api_security\auth_cache,No,No,No,No,No
backend,plugins\api_security\backend,No,No,No,No,No
banner_analyzer,plugins\api_security\banner_analyzer,No,No,No,No,No
billing-detection,plugins\api_security\billing-detection,No,No,No,No,No
build,plugins\api_security\build,No,No,No,No,No
build-mvn,plugins\api_security\build-mvn,No,No,No,No,No
burp_client,plugins\api_security\burp_client,No,No,No,No,No
burp_commands,plugins\api_security\burp_commands,No,No,No,No,No
business-logic-agent,plugins\api_security\business-logic-agent,No,No,No,No,No
c2_lifecycle,plugins\api_security\c2_lifecycle,No,No,No,No,No
c2_tools,plugins\api_security\c2_tools,No,No,No,No,No
captcha_replay,plugins\api_security\captcha_replay,No,No,No,No,No
chain,plugins\api_security\chain,No,No,No,No,No
chat-files,plugins\api_security\chat-files,No,No,No,No,No
chatgpt,plugins\api_security\chatgpt,No,No,No,No,No
chatgpt_api,plugins\api_security\chatgpt_api,No,No,No,No,No
chatgpt_config_sample,plugins\api_security\chatgpt_config_sample,No,No,No,No,No
chat_config,plugins\api_security\chat_config,No,No,No,No,No
checkpoint,plugins\api_security\checkpoint,No,No,No,No,No
checkpoint-manager,plugins\api_security\checkpoint-manager,No,No,No,No,No
citations,plugins\api_security\citations,No,No,No,No,No
clair,plugins\api_security\clair,No,No,No,No,No
claude_bridge,plugins\api_security\claude_bridge,No,No,No,No,No
client,plugins\api_security\client,No,No,No,No,No
CODE_OF_CONDUCT,plugins\api_security\CODE_OF_CONDUCT,No,No,No,No,No
config,plugins\api_security\config,No,Yes,No,No,No
config-loader,plugins\api_security\config-loader,No,No,No,No,No
config_2,plugins\api_security\config_2,No,Yes,No,Yes,No
config_5,plugins\api_security\config_5,No,No,No,No,No
config_6,plugins\api_security\config_6,No,No,No,No,No
conftest,plugins\api_security\conftest,No,No,No,No,No
constants,plugins\api_security\constants,No,No,No,No,No
content_fingerprint,plugins\api_security\content_fingerprint,No,No,No,No,No
CONTRIBUTING_2,plugins\api_security\CONTRIBUTING_2,No,No,No,No,No
CONTRIBUTING_3,plugins\api_security\CONTRIBUTING_3,No,No,No,No,No
CONTRIBUTING_4,plugins\api_security\CONTRIBUTING_4,No,No,No,No,No
conversation,plugins\api_security\conversation,No,No,No,No,No
corpus,plugins\api_security\corpus,No,No,No,No,No
cors-probe-agent,plugins\api_security\cors-probe-agent,No,No,No,No,No
cors_reflection,plugins\api_security\cors_reflection,No,No,No,No,No
cortex,plugins\api_security\cortex,No,No,No,No,No
coupon_forging,plugins\api_security\coupon_forging,No,No,No,No,No
credential_detector,plugins\api_security\credential_detector,No,No,No,No,No
cve_db,plugins\api_security\cve_db,No,Yes,No,No,No
cve_poc_primitives,plugins\api_security\cve_poc_primitives,No,No,No,No,No
cvss-calculator,plugins\api_security\cvss-calculator,No,No,No,No,No
CyberStrikeAIClient,plugins\api_security\CyberStrikeAIClient,No,No,No,No,No
CyberStrikeAIClientAgentMode,plugins\api_security\CyberStrikeAIClientAgentMode,No,No,No,No,No
dark-matter,plugins\api_security\dark-matter,No,No,No,No,No
dark-mattertest,plugins\api_security\dark-mattertest,No,No,No,No,No
dashboard,plugins\api_security\dashboard,No,Yes,No,No,No
dashboard_2,plugins\api_security\dashboard_2,No,No,No,No,No
DATA-PRIVACY,plugins\api_security\DATA-PRIVACY,No,No,No,No,No
datasrcs,plugins\api_security\datasrcs,No,No,No,No,No
debug,plugins\api_security\debug,No,No,No,No,No
DECISION,plugins\api_security\DECISION,No,No,No,No,No
deepseek,plugins\api_security\deepseek,No,No,No,No,No
deepseek_api,plugins\api_security\deepseek_api,No,No,No,No,No
default_single_system_prompt,plugins\api_security\default_single_system_prompt,No,No,No,No,No
DEPLOYMENT,plugins\api_security\DEPLOYMENT,No,No,No,No,No
deserialization,plugins\api_security\deserialization,No,No,No,No,No
documentation-agent,plugins\api_security\documentation-agent,No,No,No,No,No
doc_3,plugins\api_security\doc_3,No,No,No,No,No
DPA,plugins\api_security\DPA,No,No,No,No,No
eino,plugins\api_security\eino,No,No,No,No,No
eino_single_runner,plugins\api_security\eino_single_runner,No,No,No,No,No
eino_test,plugins\api_security\eino_test,No,No,No,No,No
eino_transient_retry,plugins\api_security\eino_transient_retry,No,No,No,No,No
eino_transient_retry_test,plugins\api_security\eino_transient_retry_test,No,No,No,No,No
embedding,plugins\api_security\embedding,No,No,No,No,No
endpoint_classifier,plugins\api_security\endpoint_classifier,No,No,No,No,No
engineapi_test,plugins\api_security\engineapi_test,No,No,No,No,No
envexpand_test,plugins\api_security\envexpand_test,No,No,No,No,No
env_2,plugins\api_security\env_2,No,No,No,No,No
env_4,plugins\api_security\env_4,No,No,No,No,No
error-handling,plugins\api_security\error-handling,No,No,No,No,No
ErrorPatternAnalyzertest,plugins\api_security\ErrorPatternAnalyzertest,No,No,No,No,No
errors,plugins\api_security\errors,No,No,No,No,No
evidence,plugins\api_security\evidence,No,Yes,No,Yes,No
executor_2,plugins\api_security\executor_2,No,No,No,No,No
exploit-authz_1,plugins\api_security\exploit-authz_1,No,No,No,No,No
exploit-authz_3,plugins\api_security\exploit-authz_3,No,No,No,No,No
express-scaffold,plugins\api_security\express-scaffold,No,No,No,No,No
external_mcp_test,plugins\api_security\external_mcp_test,No,No,No,No,No
extract_cookie,plugins\api_security\extract_cookie,No,No,No,No,No
facebook,plugins\api_security\facebook,No,No,No,No,No
feature-collector,plugins\api_security\feature-collector,No,No,No,No,No
forced_error,plugins\api_security\forced_error,No,No,No,No,No
frontend-i18n,plugins\api_security\frontend-i18n,No,No,No,No,No
gemini,plugins\api_security\gemini,No,No,No,No,No
gemini_api,plugins\api_security\gemini_api,No,No,No,No,No
getting-started,plugins\api_security\getting-started,No,No,No,No,No
gpt4all_api,plugins\api_security\gpt4all_api,No,No,No,No,No
graphql,plugins\api_security\graphql,No,No,No,No,No
graphql-scanner,plugins\api_security\graphql-scanner,No,No,No,No,No
graphql_introspection,plugins\api_security\graphql_introspection,No,No,No,No,No
graphql_tool,plugins\api_security\graphql_tool,No,No,No,No,No
hackertarget,plugins\api_security\hackertarget,No,No,No,No,No
harness,plugins\api_security\harness,No,No,No,No,No
hidden_discovery,plugins\api_security\hidden_discovery,No,No,No,No,No
hitl,plugins\api_security\hitl,No,No,No,No,No
host_header_reset_poisoning,plugins\api_security\host_header_reset_poisoning,No,No,No,No,No
HTTPMethodAnalyzertest,plugins\api_security\HTTPMethodAnalyzertest,No,No,No,No,No
http_extractor,plugins\api_security\http_extractor,No,No,No,No,No
idor_authenticated,plugins\api_security\idor_authenticated,No,No,No,No,No
idor_authz_differential,plugins\api_security\idor_authz_differential,No,No,No,No,No
index,plugins\api_security\index,No,No,No,No,No
indexer,plugins\api_security\indexer,No,No,No,No,No
index_1,plugins\api_security\index_1,No,Yes,No,No,No
index_13,plugins\api_security\index_13,No,No,No,No,No
index_17,plugins\api_security\index_17,No,No,No,No,No
index_3,plugins\api_security\index_3,No,No,No,No,No
inference,plugins\api_security\inference,No,No,No,No,No
inferencetest,plugins\api_security\inferencetest,No,No,No,No,No
install-git-hooks,plugins\api_security\install-git-hooks,No,No,No,No,No
INSTALL_2,plugins\api_security\INSTALL_2,No,No,No,No,No
jina,plugins\api_security\jina,No,No,No,No,No
js-analysis,plugins\api_security\js-analysis,No,No,No,No,No
juiceshop,plugins\api_security\juiceshop,No,No,No,No,No
jwt_jku_x5u_ssrf,plugins\api_security\jwt_jku_x5u_ssrf,No,No,No,No,No
knowledge,plugins\api_security\knowledge,No,No,No,No,No
knowledgejs,plugins\api_security\knowledgejs,No,No,No,No,No
knowledge_base,plugins\api_security\knowledge_base,No,No,No,No,No
langfuse,plugins\api_security\langfuse,No,No,No,No,No
lark,plugins\api_security\lark,No,No,No,No,No
ldap_injection,plugins\api_security\ldap_injection,No,No,No,No,No
legacy,plugins\api_security\legacy,No,No,No,No,No
LICENSE,plugins\api_security\LICENSE,No,No,No,No,No
LICENSE_1,plugins\api_security\LICENSE_1,No,No,No,No,No
LICENSE_10,plugins\api_security\LICENSE_10,No,No,No,No,No
LICENSE_12,plugins\api_security\LICENSE_12,No,No,No,No,No
LICENSE_13,plugins\api_security\LICENSE_13,No,No,No,No,No
LICENSE_2,plugins\api_security\LICENSE_2,No,No,No,No,No
LICENSE_4,plugins\api_security\LICENSE_4,No,No,No,No,No
LICENSE_6,plugins\api_security\LICENSE_6,No,No,No,No,No
LICENSE_7,plugins\api_security\LICENSE_7,No,No,No,No,No
LICENSE_9,plugins\api_security\LICENSE_9,No,No,No,No,No
llm,plugins\api_security\llm,No,No,No,No,No
llm-analysis,plugins\api_security\llm-analysis,No,No,No,No,No
llm-client,plugins\api_security\llm-client,No,No,No,No,No
llm-clienttest,plugins\api_security\llm-clienttest,No,No,No,No,No
llm-clienttest_1,plugins\api_security\llm-clienttest_1,No,No,No,No,No
llm-client_1,plugins\api_security\llm-client_1,No,No,No,No,No
llm_api,plugins\api_security\llm_api,No,No,No,No,No
loader_1,plugins\api_security\loader_1,No,No,No,No,No
LOCAL-SETUP,plugins\api_security\LOCAL-SETUP,No,No,No,No,No
main_4,plugins\api_security\main_4,No,Yes,No,Yes,No
main_5,plugins\api_security\main_5,No,Yes,No,Yes,No
manager_2,plugins\api_security\manager_2,No,No,No,No,No
markdown,plugins\api_security\markdown,No,No,No,No,No
MarkdownRenderer,plugins\api_security\MarkdownRenderer,No,Yes,No,No,No
markdown_agents,plugins\api_security\markdown_agents,No,No,No,No,No
masscan,plugins\api_security\masscan,No,No,No,No,No
masscan_2,plugins\api_security\masscan_2,No,No,No,No,No
mass_assignment,plugins\api_security\mass_assignment,No,No,No,No,No
mcp_client,plugins\api_security\mcp_client,No,No,No,No,No
mcp_manager,plugins\api_security\mcp_manager,No,No,No,No,No
mcp_setup,plugins\api_security\mcp_setup,No,No,No,No,No
memory_compressor,plugins\api_security\memory_compressor,No,No,No,No,No
message-handlers,plugins\api_security\message-handlers,No,No,No,No,No
metrics-tracker,plugins\api_security\metrics-tracker,No,No,No,No,No
models_1,plugins\api_security\models_1,No,No,No,No,No
models_5,plugins\api_security\models_5,No,No,No,No,No
module_import,plugins\api_security\module_import,No,No,No,No,No
monitor,plugins\api_security\monitor,No,Yes,No,Yes,No
multi_agent,plugins\api_security\multi_agent,No,No,No,No,No
