Repository,Required Dependencies,Optional Dependencies,Conflicts,Version Constraints
webshell_context,requirements.txt,Docker,None,Latest
webshell_context_test,requirements.txt,Docker,None,Latest
webshell_probe,requirements.txt,Docker,None,Latest
wechat,requirements.txt,Docker,None,Latest
wireless_agent,requirements.txt,Docker,None,Latest
workflow-logger,requirements.txt,Docker,None,Latest
workflow_engine,requirements.txt,Docker,None,Latest
_14,requirements.txt,Docker,None,Latest
_rules_1,requirements.txt,Docker,None,Latest
_target_1,requirements.txt,Docker,None,Latest
__init___109,requirements.txt,Docker,None,Latest
__init___11,requirements.txt,Docker,None,Latest
__init___141,requirements.txt,Docker,None,Latest
__init___144,requirements.txt,Docker,None,Latest
__init___17,requirements.txt,Docker,None,Latest
__init___202,requirements.txt,Docker,None,Latest
__init___211,requirements.txt,Docker,None,Latest
__init___29,requirements.txt,Docker,None,Latest
__init___31,requirements.txt,Docker,None,Latest
__init___50,requirements.txt,Docker,None,Latest
__init___52,requirements.txt,Docker,None,Latest
__init___6,requirements.txt,Docker,None,Latest
__init___70,requirements.txt,Docker,None,Latest
activities,requirements.txt,Docker,None,Latest
agent-execution,requirements.txt,Docker,None,Latest
agents,requirements.txt,Docker,None,Latest
agent_runner,requirements.txt,Docker,None,Latest
agent_test,requirements.txt,Docker,None,Latest
anthropic_agent,requirements.txt,Docker,None,Latest
anthropic_official,requirements.txt,Docker,None,Latest
api,requirements.txt,Docker,None,Latest
api-discoverer-agent,requirements.txt,Docker,None,Latest
api-discovery,requirements.txt,Docker,None,Latest
api-discoverytest,requirements.txt,Docker,None,Latest
api-docs,requirements.txt,Docker,None,Latest
api-schema-analyzer,requirements.txt,Docker,None,Latest
apitest,requirements.txt,Docker,None,Latest
api_authentication,requirements.txt,Docker,None,Latest
api_pipeline,requirements.txt,Docker,None,Latest
app,requirements.txt,Docker,None,Latest
app_2,requirements.txt,Docker,None,Latest
app_config,requirements.txt,Docker,None,Latest
asvs-mapper,requirements.txt,Docker,None,Latest
async_prompt,requirements.txt,Docker,None,Latest
attackchain,requirements.txt,Docker,None,Latest
audit_1,requirements.txt,Docker,None,Latest
aup_consent,requirements.txt,Docker,None,Latest
auth,requirements.txt,Docker,None,Latest
auth_analyzer,requirements.txt,Docker,None,Latest
auth_cache,requirements.txt,Docker,None,Latest
backend,requirements.txt,Docker,None,Latest
banner_analyzer,requirements.txt,Docker,None,Latest
billing-detection,requirements.txt,Docker,None,Latest
build,requirements.txt,Docker,None,Latest
build-mvn,requirements.txt,Docker,None,Latest
burp_client,requirements.txt,Docker,None,Latest
burp_commands,requirements.txt,Docker,None,Latest
business-logic-agent,requirements.txt,Docker,None,Latest
c2_lifecycle,requirements.txt,Docker,None,Latest
c2_tools,requirements.txt,Docker,None,Latest
captcha_replay,requirements.txt,Docker,None,Latest
chain,requirements.txt,Docker,None,Latest
chat-files,requirements.txt,Docker,None,Latest
chatgpt,requirements.txt,Docker,None,Latest
chatgpt_api,requirements.txt,Docker,None,Latest
chatgpt_config_sample,requirements.txt,Docker,None,Latest
chat_config,requirements.txt,Docker,None,Latest
checkpoint,requirements.txt,Docker,None,Latest
checkpoint-manager,requirements.txt,Docker,None,Latest
citations,requirements.txt,Docker,None,Latest
clair,requirements.txt,Docker,None,Latest
claude_bridge,requirements.txt,Docker,None,Latest
CODE_OF_CONDUCT,requirements.txt,Docker,None,Latest
config-loader,requirements.txt,Docker,None,Latest
config_2,requirements.txt,Docker,None,Latest
config_5,requirements.txt,Docker,None,Latest
config_6,requirements.txt,Docker,None,Latest
conftest,requirements.txt,Docker,None,Latest
constants,requirements.txt,Docker,None,Latest
content_fingerprint,requirements.txt,Docker,None,Latest
CONTRIBUTING_2,requirements.txt,Docker,None,Latest
CONTRIBUTING_3,requirements.txt,Docker,None,Latest
CONTRIBUTING_4,requirements.txt,Docker,None,Latest
conversation,requirements.txt,Docker,None,Latest
cors-probe-agent,requirements.txt,Docker,None,Latest
cors_reflection,requirements.txt,Docker,None,Latest
cortex,requirements.txt,Docker,None,Latest
coupon_forging,requirements.txt,Docker,None,Latest
credential_detector,requirements.txt,Docker,None,Latest
cve_db,requirements.txt,Docker,None,Latest
cve_poc_primitives,requirements.txt,Docker,None,Latest
cvss-calculator,requirements.txt,Docker,None,Latest
CyberStrikeAIClient,requirements.txt,Docker,None,Latest
CyberStrikeAIClientAgentMode,requirements.txt,Docker,None,Latest
dark-matter,requirements.txt,Docker,None,Latest
dark-mattertest,requirements.txt,Docker,None,Latest
dashboard_2,requirements.txt,Docker,None,Latest
DATA-PRIVACY,requirements.txt,Docker,None,Latest
datasrcs,requirements.txt,Docker,None,Latest
debug,requirements.txt,Docker,None,Latest
DECISION,requirements.txt,Docker,None,Latest
deepseek,requirements.txt,Docker,None,Latest
deepseek_api,requirements.txt,Docker,None,Latest
default_single_system_prompt,requirements.txt,Docker,None,Latest
DEPLOYMENT,requirements.txt,Docker,None,Latest
deserialization,requirements.txt,Docker,None,Latest
documentation-agent,requirements.txt,Docker,None,Latest
doc_3,requirements.txt,Docker,None,Latest
DPA,requirements.txt,Docker,None,Latest
eino,requirements.txt,Docker,None,Latest
eino_single_runner,requirements.txt,Docker,None,Latest
eino_test,requirements.txt,Docker,None,Latest
eino_transient_retry,requirements.txt,Docker,None,Latest
eino_transient_retry_test,requirements.txt,Docker,None,Latest
embedding,requirements.txt,Docker,None,Latest
endpoint_classifier,requirements.txt,Docker,None,Latest
engineapi_test,requirements.txt,Docker,None,Latest
envexpand_test,requirements.txt,Docker,None,Latest
env_2,requirements.txt,Docker,None,Latest
env_4,requirements.txt,Docker,None,Latest
error-handling,requirements.txt,Docker,None,Latest
ErrorPatternAnalyzertest,requirements.txt,Docker,None,Latest
errors,requirements.txt,Docker,None,Latest
evidence,requirements.txt,Docker,None,Latest
executor_2,requirements.txt,Docker,None,Latest
exploit-authz_1,requirements.txt,Docker,None,Latest
exploit-authz_3,requirements.txt,Docker,None,Latest
express-scaffold,requirements.txt,Docker,None,Latest
external_mcp_test,requirements.txt,Docker,None,Latest
extract_cookie,requirements.txt,Docker,None,Latest
facebook,requirements.txt,Docker,None,Latest
feature-collector,requirements.txt,Docker,None,Latest
forced_error,requirements.txt,Docker,None,Latest
frontend-i18n,requirements.txt,Docker,None,Latest
gemini,requirements.txt,Docker,None,Latest
gemini_api,requirements.txt,Docker,None,Latest
getting-started,requirements.txt,Docker,None,Latest
gpt4all_api,requirements.txt,Docker,None,Latest
graphql,requirements.txt,Docker,None,Latest
graphql-scanner,requirements.txt,Docker,None,Latest
graphql_introspection,requirements.txt,Docker,None,Latest
graphql_tool,requirements.txt,Docker,None,Latest
hackertarget,requirements.txt,Docker,None,Latest
harness,requirements.txt,Docker,None,Latest
hidden_discovery,requirements.txt,Docker,None,Latest
hitl,requirements.txt,Docker,None,Latest
host_header_reset_poisoning,requirements.txt,Docker,None,Latest
HTTPMethodAnalyzertest,requirements.txt,Docker,None,Latest
http_extractor,requirements.txt,Docker,None,Latest
idor_authenticated,requirements.txt,Docker,None,Latest
idor_authz_differential,requirements.txt,Docker,None,Latest
indexer,requirements.txt,Docker,None,Latest
index_1,requirements.txt,Docker,None,Latest
index_13,requirements.txt,Docker,None,Latest
index_17,requirements.txt,Docker,None,Latest
inference,requirements.txt,Docker,None,Latest
inferencetest,requirements.txt,Docker,None,Latest
install-git-hooks,requirements.txt,Docker,None,Latest
INSTALL_2,requirements.txt,Docker,None,Latest
jina,requirements.txt,Docker,None,Latest
js-analysis,requirements.txt,Docker,None,Latest
juiceshop,requirements.txt,Docker,None,Latest
jwt_jku_x5u_ssrf,requirements.txt,Docker,None,Latest
knowledge,requirements.txt,Docker,None,Latest
knowledgejs,requirements.txt,Docker,None,Latest
knowledge_base,requirements.txt,Docker,None,Latest
langfuse,requirements.txt,Docker,None,Latest
lark,requirements.txt,Docker,None,Latest
ldap_injection,requirements.txt,Docker,None,Latest
legacy,requirements.txt,Docker,None,Latest
LICENSE,requirements.txt,Docker,None,Latest
LICENSE_1,requirements.txt,Docker,None,Latest
LICENSE_10,requirements.txt,Docker,None,Latest
LICENSE_12,requirements.txt,Docker,None,Latest
LICENSE_13,requirements.txt,Docker,None,Latest
LICENSE_2,requirements.txt,Docker,None,Latest
LICENSE_4,requirements.txt,Docker,None,Latest
LICENSE_6,requirements.txt,Docker,None,Latest
LICENSE_7,requirements.txt,Docker,None,Latest
LICENSE_9,requirements.txt,Docker,None,Latest
llm,requirements.txt,Docker,None,Latest
llm-analysis,requirements.txt,Docker,None,Latest
llm-client,requirements.txt,Docker,None,Latest
llm-clienttest,requirements.txt,Docker,None,Latest
llm-clienttest_1,requirements.txt,Docker,None,Latest
llm-client_1,requirements.txt,Docker,None,Latest
llm_api,requirements.txt,Docker,None,Latest
loader_1,requirements.txt,Docker,None,Latest
LOCAL-SETUP,requirements.txt,Docker,None,Latest
main_4,requirements.txt,Docker,None,Latest
main_5,requirements.txt,Docker,None,Latest
manager_2,requirements.txt,Docker,None,Latest
markdown,requirements.txt,Docker,None,Latest
MarkdownRenderer,requirements.txt,Docker,None,Latest
markdown_agents,requirements.txt,Docker,None,Latest
masscan,requirements.txt,Docker,None,Latest
masscan_2,requirements.txt,Docker,None,Latest
mass_assignment,requirements.txt,Docker,None,Latest
mcp_client,requirements.txt,Docker,None,Latest
mcp_manager,requirements.txt,Docker,None,Latest
mcp_setup,requirements.txt,Docker,None,Latest
memory_compressor,requirements.txt,Docker,None,Latest
message-handlers,requirements.txt,Docker,None,Latest
metrics-tracker,requirements.txt,Docker,None,Latest
models_1,requirements.txt,Docker,None,Latest
models_5,requirements.txt,Docker,None,Latest
module_import,requirements.txt,Docker,None,Latest
monitor,requirements.txt,Docker,None,Latest
multi_agent,requirements.txt,Docker,None,Latest
MULTI_AGENT_EINO,requirements.txt,Docker,None,Latest
nikto_tool,requirements.txt,Docker,None,Latest
nmap-irc,requirements.txt,Docker,None,Latest
notifications,requirements.txt,Docker,None,Latest
no_nested_task,requirements.txt,Docker,None,Latest
ollama_api,requirements.txt,Docker,None,Latest
openai,requirements.txt,Docker,None,Latest
openapi,requirements.txt,Docker,None,Latest
openapi-discovery-agent,requirements.txt,Docker,None,Latest
openapi_i18n,requirements.txt,Docker,None,Latest
openapi_parser,requirements.txt,Docker,None,Latest
open_ai,requirements.txt,Docker,None,Latest
oracle-patator,requirements.txt,Docker,None,Latest
orchestrator-plan-execute,requirements.txt,Docker,None,Latest
orchestrator-supervisor,requirements.txt,Docker,None,Latest
orphan_tool_pruner_middleware,requirements.txt,Docker,None,Latest
osrframework,requirements.txt,Docker,None,Latest
package_1,requirements.txt,Docker,None,Latest
package_5,requirements.txt,Docker,None,Latest
parameter_mapper,requirements.txt,Docker,None,Latest
password_reset_weak,requirements.txt,Docker,None,Latest
path_traversal,requirements.txt,Docker,None,Latest
penetration,requirements.txt,Docker,None,Latest
pentest-ai,requirements.txt,Docker,None,Latest
pentest_agent,requirements.txt,Docker,None,Latest
pentest_gpt,requirements.txt,Docker,None,Latest
pentest_gpt_rebuilt,requirements.txt,Docker,None,Latest
pent_claude_agent_config,requirements.txt,Docker,None,Latest
perplexity,requirements.txt,Docker,None,Latest
persistencetest,requirements.txt,Docker,None,Latest
playwright-config-writer,requirements.txt,Docker,None,Latest
plugin_loader_1,requirements.txt,Docker,None,Latest
poc_agent,requirements.txt,Docker,None,Latest
pom,requirements.txt,Docker,None,Latest
postman_parser,requirements.txt,Docker,None,Latest
pre-recon-code_2,requirements.txt,Docker,None,Latest
privilege_escalation_patch,requirements.txt,Docker,None,Latest
project_manager,requirements.txt,Docker,None,Latest
prototype_pollution,requirements.txt,Docker,None,Latest
pyproject,requirements.txt,Docker,None,Latest
quake_search,requirements.txt,Docker,None,Latest
queue,requirements.txt,Docker,None,Latest
race_condition,requirements.txt,Docker,None,Latest
reactive-verifier,requirements.txt,Docker,None,Latest
READMEzh-CN,requirements.txt,Docker,None,Latest
README_10,requirements.txt,Docker,None,Latest
README_11,requirements.txt,Docker,None,Latest
README_13,requirements.txt,Docker,None,Latest
README_15,requirements.txt,Docker,None,Latest
README_32,requirements.txt,Docker,None,Latest
README_33,requirements.txt,Docker,None,Latest
README_38,requirements.txt,Docker,None,Latest
README_50,requirements.txt,Docker,None,Latest
README_54,requirements.txt,Docker,None,Latest
README_55,requirements.txt,Docker,None,Latest
README_CN_3,requirements.txt,Docker,None,Latest
recon,requirements.txt,Docker,None,Latest
reconx_engine,requirements.txt,Docker,None,Latest
REFERENCE,requirements.txt,Docker,None,Latest
reflected_xss,requirements.txt,Docker,None,Latest
registry,requirements.txt,Docker,None,Latest
release-pypi,requirements.txt,Docker,None,Latest
replay,requirements.txt,Docker,None,Latest
report-snippet,requirements.txt,Docker,None,Latest
report_18,requirements.txt,Docker,None,Latest
report_injector,requirements.txt,Docker,None,Latest
report_injector_1,requirements.txt,Docker,None,Latest
requirements_6,requirements.txt,Docker,None,Latest
reset_juice_shop,requirements.txt,Docker,None,Latest
retrieval_postprocess,requirements.txt,Docker,None,Latest
retry,requirements.txt,Docker,None,Latest
review,requirements.txt,Docker,None,Latest
robot,requirements.txt,Docker,None,Latest
robot_en,requirements.txt,Docker,None,Latest
roles,requirements.txt,Docker,None,Latest
route_correlator,requirements.txt,Docker,None,Latest
RunCommand,requirements.txt,Docker,None,Latest
runner,requirements.txt,Docker,None,Latest
saml_xsw,requirements.txt,Docker,None,Latest
sandbox,requirements.txt,Docker,None,Latest
sanitize,requirements.txt,Docker,None,Latest
schedulertest,requirements.txt,Docker,None,Latest
scheduler_2,requirements.txt,Docker,None,Latest
schema-gen-agent,requirements.txt,Docker,None,Latest
scope,requirements.txt,Docker,None,Latest
search,requirements.txt,Docker,None,Latest
SecurityHeaderAnalyzertest,requirements.txt,Docker,None,Latest
server,requirements.txt,Docker,None,Latest
service,requirements.txt,Docker,None,Latest
services_commands,requirements.txt,Docker,None,Latest
service_intelligence_view,requirements.txt,Docker,None,Latest
settings,requirements.txt,Docker,None,Latest
shared,requirements.txt,Docker,None,Latest
sherlock,requirements.txt,Docker,None,Latest
shodan_api,requirements.txt,Docker,None,Latest
shodan_apicpython-313,requirements.txt,Docker,None,Latest
shodan_search,requirements.txt,Docker,None,Latest
sitemap-agent,requirements.txt,Docker,None,Latest
SKILL,requirements.txt,Docker,None,Latest
SKILL_11,requirements.txt,Docker,None,Latest
SKILL_13,requirements.txt,Docker,None,Latest
SKILL_3,requirements.txt,Docker,None,Latest
SKILL_7,requirements.txt,Docker,None,Latest
SKILL_9,requirements.txt,Docker,None,Latest
source-gen-agent,requirements.txt,Docker,None,Latest
ssti_polyglot,requirements.txt,Docker,None,Latest
status,requirements.txt,Docker,None,Latest
stored_xss,requirements.txt,Docker,None,Latest
style,requirements.txt,Docker,None,Latest
sub_agent_context,requirements.txt,Docker,None,Latest
sub_agent_context_test,requirements.txt,Docker,None,Latest
SUMMARY,requirements.txt,Docker,None,Latest
swagger_2,requirements.txt,Docker,None,Latest
swagger_parser,requirements.txt,Docker,None,Latest
tasks,requirements.txt,Docker,None,Latest
telemetry,requirements.txt,Docker,None,Latest
terminal,requirements.txt,Docker,None,Latest
test-cortex-integration,requirements.txt,Docker,None,Latest
test-gen-agent,requirements.txt,Docker,None,Latest
testLogin,requirements.txt,Docker,None,Latest
test_agent_loop,requirements.txt,Docker,None,Latest
test_agent_mode_cli,requirements.txt,Docker,None,Latest
test_anthropic_agent,requirements.txt,Docker,None,Latest
test_auth_profiles,requirements.txt,Docker,None,Latest
test_auth_profile_cli,requirements.txt,Docker,None,Latest
test_auth_runner,requirements.txt,Docker,None,Latest
test_benchmarks_scoring_common,requirements.txt,Docker,None,Latest
test_browser_agent,requirements.txt,Docker,None,Latest
test_chain,requirements.txt,Docker,None,Latest
test_chain_quality,requirements.txt,Docker,None,Latest
test_config,requirements.txt,Docker,None,Latest
test_connection,requirements.txt,Docker,None,Latest
test_handler_web_probes,requirements.txt,Docker,None,Latest
test_langfuse_1,requirements.txt,Docker,None,Latest
test_legacy_probe_migration,requirements.txt,Docker,None,Latest
test_llm,requirements.txt,Docker,None,Latest
test_llm_e2e_smoke,requirements.txt,Docker,None,Latest
test_mcp_action_surface,requirements.txt,Docker,None,Latest
test_new_high_roi_probes,requirements.txt,Docker,None,Latest
test_probe_cors_reflection,requirements.txt,Docker,None,Latest
test_probe_coupon_forging,requirements.txt,Docker,None,Latest
test_probe_cve_poc,requirements.txt,Docker,None,Latest
test_probe_deserialization,requirements.txt,Docker,None,Latest
test_probe_dom_xss,requirements.txt,Docker,None,Latest
test_probe_file_upload_validation,requirements.txt,Docker,None,Latest
test_probe_forced_error,requirements.txt,Docker,None,Latest
test_probe_graphql_introspection,requirements.txt,Docker,None,Latest
test_probe_hidden_discovery,requirements.txt,Docker,None,Latest
test_probe_host_header_reset_poisoning,requirements.txt,Docker,None,Latest
test_probe_idor_authenticated,requirements.txt,Docker,None,Latest
test_probe_idor_authz_differential,requirements.txt,Docker,None,Latest
test_probe_idor_sequential,requirements.txt,Docker,None,Latest
test_probe_ldap_injection,requirements.txt,Docker,None,Latest
test_probe_mass_assignment,requirements.txt,Docker,None,Latest
test_probe_path_traversal,requirements.txt,Docker,None,Latest
test_probe_primitives,requirements.txt,Docker,None,Latest
test_probe_prototype_pollution,requirements.txt,Docker,None,Latest
test_probe_race_condition,requirements.txt,Docker,None,Latest
test_probe_reflected_xss,requirements.txt,Docker,None,Latest
test_probe_registry,requirements.txt,Docker,None,Latest
test_probe_ssti_stored,requirements.txt,Docker,None,Latest
test_probe_stored_xss,requirements.txt,Docker,None,Latest
test_probe_web3,requirements.txt,Docker,None,Latest
test_probe_web_cache_deception,requirements.txt,Docker,None,Latest
test_probe_xxe_upload,requirements.txt,Docker,None,Latest
