Repository,Original Source,Wrapper Only,YAML Only,Audit File,Missing Executable,Estimated Integration %
login-instructions,False,False,True,False,True,15%
login-instructions_1,False,False,True,False,True,15%
logo,False,False,True,False,True,15%
main_12,False,False,True,False,True,15%
main_3,False,False,True,False,True,15%
main_8,False,False,True,False,True,15%
markdown_orchestrator_test,False,False,True,False,True,15%
mcp_pent_claude_agent,False,False,True,False,True,15%
mcp_tools,False,False,True,False,True,15%
memory,False,False,True,False,True,15%
metrics,False,False,True,False,True,15%
models,False,False,True,False,True,15%
model_manager,False,False,True,False,True,15%
multi_agent_prepare,False,False,True,False,True,15%
navigator,False,False,True,False,True,15%
normalize_streaming_delta_test,False,False,True,False,True,15%
normalize_streaming_eof_test,False,False,True,False,True,15%
opsec-evasion,False,False,True,False,True,15%
orchestratortest,False,False,True,False,True,15%
orchestrator_instruction,False,False,True,False,True,15%
orphan_tool_pruner_middleware_test,False,False,True,False,True,15%
otel,False,False,True,False,True,15%
package-lock_1,False,False,True,False,True,15%
package_2,False,False,True,False,True,15%
package_4,False,False,True,False,True,15%
paths_1,False,False,True,False,True,15%
payload_builder,False,False,True,False,True,15%
PentestGPT_design,False,False,True,False,True,15%
persistence-maintenance,False,False,True,False,True,15%
plan_execute_executor,False,False,True,False,True,15%
plan_execute_steps_cap,False,False,True,False,True,15%
plan_execute_steps_cap_test,False,False,True,False,True,15%
plan_execute_text,False,False,True,False,True,15%
plan_execute_text_test,False,False,True,False,True,15%
plugin_3,False,False,True,False,True,15%
plugin_center,False,False,True,False,True,15%
pnpm-workspace,False,False,True,False,True,15%
portscan-all-tcp-ports,False,False,True,False,True,15%
portscan-top-100-udp-ports,False,False,True,False,True,15%
pre-commit-config,False,False,True,False,True,15%
pre-recon-code_3,False,False,True,False,True,15%
privilege-escalation,False,False,True,False,True,15%
production,False,False,True,False,True,15%
progress-manager,False,False,True,False,True,15%
prompt-manager,False,False,True,False,True,15%
prompts,False,False,True,False,True,15%
prompt_select,False,False,True,False,True,15%
README_14,False,False,True,False,True,15%
README_34,False,False,True,False,True,15%
README_35,False,False,True,False,True,15%
README_40,False,False,True,False,True,15%
reasoning_trace,False,False,True,False,True,15%
reasoning_trace_test,False,False,True,False,True,15%
reconftw_prox_deploy,False,False,True,False,True,15%
recon_3,False,False,True,False,True,15%
registry_4,False,False,True,False,True,15%
registry_8,False,False,True,False,True,15%
registry_bridge,False,False,True,False,True,15%
remediation-agent,False,False,True,False,True,15%
report-output-provider,False,False,True,False,True,15%
reporting-remediation,False,False,True,False,True,15%
report_agent,False,False,True,False,True,15%
result,False,False,True,False,True,15%
role,False,False,True,False,True,15%
router,False,False,True,False,True,15%
runner_reasoning_history_test,False,False,True,False,True,15%
run_context,False,False,True,False,True,15%
save-deliverable,False,False,True,False,True,15%
service_1,False,False,True,False,True,15%
settings_3,False,False,True,False,True,15%
settings_4,False,False,True,False,True,15%
skills,False,False,True,False,True,15%
splash,False,False,True,False,True,15%
sse_stream,False,False,True,False,True,15%
styles,False,False,True,False,True,15%
summary-mapper,False,False,True,False,True,15%
task_handler,False,False,True,False,True,15%
task_manager,False,False,True,False,True,15%
task_processor,False,False,True,False,True,15%
task_tree_manager,False,False,True,False,True,15%
test-multibar,False,False,True,False,True,15%
test_async_prompt,False,False,True,False,True,15%
test_backend_interface,False,False,True,False,True,15%
test_base_agent_coverage,False,False,True,False,True,15%
test_controller,False,False,True,False,True,15%
test_cost_tracker,False,False,True,False,True,15%
test_events,False,False,True,False,True,15%
test_install_planner,False,False,True,False,True,15%
test_integration,False,False,True,False,True,15%
test_langfuse,False,False,True,False,True,15%
test_mcp_auth_session_reuse,False,False,True,False,True,15%
test_mcp_client_and_hitl,False,False,True,False,True,15%
test_mcp_server,False,False,True,False,True,15%
test_output_parser,False,False,True,False,True,15%
test_playbook,False,False,True,False,True,15%
test_stage2_integration,False,False,True,False,True,15%
test_trigger_system,False,False,True,False,True,15%
test_web_agent_set_auth,False,False,True,False,True,15%
tmux_manager,False,False,True,False,True,15%
tool_error_middleware,False,False,True,False,True,15%
tool_error_middleware_test,False,False,True,False,True,15%
tool_invoke_notify,False,False,True,False,True,15%
tracer,False,False,True,False,True,15%
trigger_system,False,False,True,False,True,15%
truncate_test,False,False,True,False,True,15%
tsdownconfig,False,False,True,False,True,15%
tui,False,False,True,False,True,15%
types_7,False,False,True,False,True,15%
utils,False,False,True,False,True,15%
validate,False,False,True,False,True,15%
validate-authentication,False,False,True,False,True,15%
validation-harness,False,False,True,False,True,15%
vulnerability-triage,False,False,True,False,True,15%
Web,False,False,True,False,True,15%
webshell_context,False,False,True,False,True,15%
webshell_context_test,False,False,True,False,True,15%
webshell_probe,False,False,True,False,True,15%
wechat,False,False,True,False,True,15%
wireless_agent,False,False,True,False,True,15%
workflow-logger,False,False,True,False,True,15%
workflow_engine,False,False,True,False,True,15%
_14,False,False,True,False,True,15%
_rules_1,False,False,True,False,True,15%
_target_1,False,False,True,False,True,15%
__init___109,False,False,True,False,True,15%
__init___11,False,False,True,False,True,15%
__init___141,False,False,True,False,True,15%
__init___144,False,False,True,False,True,15%
__init___17,False,False,True,False,True,15%
__init___202,False,False,True,False,True,15%
__init___211,False,False,True,False,True,15%
__init___29,False,False,True,False,True,15%
__init___31,False,False,True,False,True,15%
__init___50,False,False,True,False,True,15%
__init___52,False,False,True,False,True,15%
__init___6,False,False,True,False,True,15%
__init___70,False,False,True,False,True,15%
activities,False,False,True,False,True,15%
agent-execution,False,False,True,False,True,15%
agents,False,False,True,False,True,15%
agent_1,False,False,True,False,True,15%
agent_runner,False,False,True,False,True,15%
agent_test,False,False,True,False,True,15%
anthropic_agent,False,False,True,False,True,15%
anthropic_official,False,False,True,False,True,15%
api,False,False,True,False,True,15%
api-discoverer-agent,False,False,True,False,True,15%
api-discovery,False,False,True,False,True,15%
api-discoverytest,False,False,True,False,True,15%
api-docs,False,False,True,False,True,15%
api-schema-analyzer,False,False,True,False,True,15%
apitest,False,False,True,False,True,15%
api_authentication,False,False,True,False,True,15%
api_pipeline,False,False,True,False,True,15%
app,False,False,True,False,True,15%
app_2,False,False,True,False,True,15%
app_config,False,False,True,False,True,15%
asvs-mapper,False,False,True,False,True,15%
async_prompt,False,False,True,False,True,15%
attackchain,False,False,True,False,True,15%
audit,False,False,True,False,True,15%
audit-session,False,False,True,False,True,15%
audit_1,False,False,True,False,True,15%
aup_consent,False,False,True,False,True,15%
auth,False,False,True,False,True,15%
auth_analyzer,False,False,True,False,True,15%
auth_cache,False,False,True,False,True,15%
backend,False,False,True,False,True,15%
banner_analyzer,False,False,True,False,True,15%
billing-detection,False,False,True,False,True,15%
build,False,False,True,False,True,15%
build-mvn,False,False,True,False,True,15%
burp_client,False,False,True,False,True,15%
burp_commands,False,False,True,False,True,15%
business-logic-agent,False,False,True,False,True,15%
c2_lifecycle,False,False,True,False,True,15%
c2_tools,False,False,True,False,True,15%
captcha_replay,False,False,True,False,True,15%
chain,False,False,True,False,True,15%
chat-files,False,False,True,False,True,15%
chatgpt,False,False,True,False,True,15%
chatgpt_api,False,False,True,False,True,15%
chatgpt_config_sample,False,False,True,False,True,15%
chat_config,False,False,True,False,True,15%
checkpoint,False,False,True,False,True,15%
checkpoint-manager,False,False,True,False,True,15%
citations,False,False,True,False,True,15%
clair,False,False,True,False,True,15%
claude_bridge,False,False,True,False,True,15%
client,False,False,True,False,True,15%
CODE_OF_CONDUCT,False,False,True,False,True,15%
config,False,False,True,False,True,15%
config-loader,False,False,True,False,True,15%
config_2,False,False,True,False,True,15%
config_5,False,False,True,False,True,15%
config_6,False,False,True,False,True,15%
conftest,False,False,True,False,True,15%
constants,False,False,True,False,True,15%
content_fingerprint,False,False,True,False,True,15%
CONTRIBUTING_2,False,False,True,False,True,15%
CONTRIBUTING_3,False,False,True,False,True,15%
CONTRIBUTING_4,False,False,True,False,True,15%
conversation,False,False,True,False,True,15%
corpus,False,False,True,False,True,15%
cors-probe-agent,False,False,True,False,True,15%
cors_reflection,False,False,True,False,True,15%
cortex,False,False,True,False,True,15%
coupon_forging,False,False,True,False,True,15%
credential_detector,False,False,True,False,True,15%
cve_db,False,False,True,False,True,15%
cve_poc_primitives,False,False,True,False,True,15%
cvss-calculator,False,False,True,False,True,15%
CyberStrikeAIClient,False,False,True,False,True,15%
CyberStrikeAIClientAgentMode,False,False,True,False,True,15%
dark-matter,False,False,True,False,True,15%
dark-mattertest,False,False,True,False,True,15%
dashboard,False,False,True,False,True,15%
dashboard_2,False,False,True,False,True,15%
DATA-PRIVACY,False,False,True,False,True,15%
datasrcs,False,False,True,False,True,15%
debug,False,False,True,False,True,15%
DECISION,False,False,True,False,True,15%
deepseek,False,False,True,False,True,15%
deepseek_api,False,False,True,False,True,15%
default_single_system_prompt,False,False,True,False,True,15%
DEPLOYMENT,False,False,True,False,True,15%
deserialization,False,False,True,False,True,15%
documentation-agent,False,False,True,False,True,15%
doc_3,False,False,True,False,True,15%
DPA,False,False,True,False,True,15%
eino,False,False,True,False,True,15%
eino_single_runner,False,False,True,False,True,15%
eino_test,False,False,True,False,True,15%
eino_transient_retry,False,False,True,False,True,15%
eino_transient_retry_test,False,False,True,False,True,15%
embedding,False,False,True,False,True,15%
endpoint_classifier,False,False,True,False,True,15%
engineapi_test,False,False,True,False,True,15%
envexpand_test,False,False,True,False,True,15%
env_2,False,False,True,False,True,15%
env_4,False,False,True,False,True,15%
error-handling,False,False,True,False,True,15%
ErrorPatternAnalyzertest,False,False,True,False,True,15%
errors,False,False,True,False,True,15%
evidence,False,False,True,False,True,15%
executor_2,False,False,True,False,True,15%
exploit-authz_1,False,False,True,False,True,15%
exploit-authz_3,False,False,True,False,True,15%
express-scaffold,False,False,True,False,True,15%
external_mcp_test,False,False,True,False,True,15%
extract_cookie,False,False,True,False,True,15%
facebook,False,False,True,False,True,15%
feature-collector,False,False,True,False,True,15%
forced_error,False,False,True,False,True,15%
frontend-i18n,False,False,True,False,True,15%
gemini,False,False,True,False,True,15%
gemini_api,False,False,True,False,True,15%
getting-started,False,False,True,False,True,15%
gpt4all_api,False,False,True,False,True,15%
graphql,False,False,True,False,True,15%
graphql-scanner,False,False,True,False,True,15%
graphql_introspection,False,False,True,False,True,15%
graphql_tool,False,False,True,False,True,15%
hackertarget,False,False,True,False,True,15%
harness,False,False,True,False,True,15%
hidden_discovery,False,False,True,False,True,15%
hitl,False,False,True,False,True,15%
host_header_reset_poisoning,False,False,True,False,True,15%
HTTPMethodAnalyzertest,False,False,True,False,True,15%
http_extractor,False,False,True,False,True,15%
idor_authenticated,False,False,True,False,True,15%
idor_authz_differential,False,False,True,False,True,15%
index,False,False,True,False,True,15%
indexer,False,False,True,False,True,15%
index_1,False,False,True,False,True,15%
index_13,False,False,True,False,True,15%
index_17,False,False,True,False,True,15%
index_3,False,False,True,False,True,15%
inference,False,False,True,False,True,15%
inferencetest,False,False,True,False,True,15%
install-git-hooks,False,False,True,False,True,15%
INSTALL_2,False,False,True,False,True,15%
jina,False,False,True,False,True,15%
js-analysis,False,False,True,False,True,15%
juiceshop,False,False,True,False,True,15%
jwt_jku_x5u_ssrf,False,False,True,False,True,15%
knowledge,False,False,True,False,True,15%
knowledgejs,False,False,True,False,True,15%
knowledge_base,False,False,True,False,True,15%
langfuse,False,False,True,False,True,15%
lark,False,False,True,False,True,15%
ldap_injection,False,False,True,False,True,15%
legacy,False,False,True,False,True,15%
LICENSE,False,False,True,False,True,15%
LICENSE_1,False,False,True,False,True,15%
LICENSE_10,False,False,True,False,True,15%
LICENSE_12,False,False,True,False,True,15%
LICENSE_13,False,False,True,False,True,15%
LICENSE_2,False,False,True,False,True,15%
LICENSE_4,False,False,True,False,True,15%
LICENSE_6,False,False,True,False,True,15%
LICENSE_7,False,False,True,False,True,15%
LICENSE_9,False,False,True,False,True,15%
llm,False,False,True,False,True,15%
llm-analysis,False,False,True,False,True,15%
llm-client,False,False,True,False,True,15%
llm-clienttest,False,False,True,False,True,15%
llm-clienttest_1,False,False,True,False,True,15%
llm-client_1,False,False,True,False,True,15%
llm_api,False,False,True,False,True,15%
loader_1,False,False,True,False,True,15%
LOCAL-SETUP,False,False,True,False,True,15%
main_4,False,False,True,False,True,15%
main_5,False,False,True,False,True,15%
manager_2,False,False,True,False,True,15%
markdown,False,False,True,False,True,15%
MarkdownRenderer,False,False,True,False,True,15%
markdown_agents,False,False,True,False,True,15%
masscan,False,False,True,False,True,15%
masscan_2,False,False,True,False,True,15%
mass_assignment,False,False,True,False,True,15%
mcp_client,False,False,True,False,True,15%
mcp_manager,False,False,True,False,True,15%
mcp_setup,False,False,True,False,True,15%
memory_compressor,False,False,True,False,True,15%
message-handlers,False,False,True,False,True,15%
metrics-tracker,False,False,True,False,True,15%
models_1,False,False,True,False,True,15%
models_5,False,False,True,False,True,15%
module_import,False,False,True,False,True,15%
monitor,False,False,True,False,True,15%
multi_agent,False,False,True,False,True,15%
MULTI_AGENT_EINO,False,False,True,False,True,15%
nikto_tool,False,False,True,False,True,15%
nmap-irc,False,False,True,False,True,15%
notifications,False,False,True,False,True,15%
no_nested_task,False,False,True,False,True,15%
ollama_api,False,False,True,False,True,15%
openai,False,False,True,False,True,15%
openapi,False,False,True,False,True,15%
openapi-discovery-agent,False,False,True,False,True,15%
openapi_i18n,False,False,True,False,True,15%
openapi_parser,False,False,True,False,True,15%
open_ai,False,False,True,False,True,15%
oracle-patator,False,False,True,False,True,15%
orchestrator-plan-execute,False,False,True,False,True,15%
orchestrator-supervisor,False,False,True,False,True,15%
orphan_tool_pruner_middleware,False,False,True,False,True,15%
osrframework,False,False,True,False,True,15%
package_1,False,False,True,False,True,15%
package_5,False,False,True,False,True,15%
parameter_mapper,False,False,True,False,True,15%
password_reset_weak,False,False,True,False,True,15%
path_traversal,False,False,True,False,True,15%
penetration,False,False,True,False,True,15%
pentest-ai,False,False,True,False,True,15%
pentest_agent,False,False,True,False,True,15%
pentest_gpt,False,False,True,False,True,15%
pentest_gpt_rebuilt,False,False,True,False,True,15%
pent_claude_agent_config,False,False,True,False,True,15%
perplexity,False,False,True,False,True,15%
persistencetest,False,False,True,False,True,15%
playwright-config-writer,False,False,True,False,True,15%
plugin_loader_1,False,False,True,False,True,15%
poc_agent,False,False,True,False,True,15%
pom,False,False,True,False,True,15%
postman_parser,False,False,True,False,True,15%
pre-recon-code_2,False,False,True,False,True,15%
privilege_escalation_patch,False,False,True,False,True,15%
project_manager,False,False,True,False,True,15%
prototype_pollution,False,False,True,False,True,15%
pyproject,False,False,True,False,True,15%
quake_search,False,False,True,False,True,15%
queue,False,False,True,False,True,15%
race_condition,False,False,True,False,True,15%
reactive-verifier,False,False,True,False,True,15%
READMEzh-CN,False,False,True,False,True,15%
README_10,False,False,True,False,True,15%
README_11,False,False,True,False,True,15%
README_13,False,False,True,False,True,15%
README_15,False,False,True,False,True,15%
README_32,False,False,True,False,True,15%
README_33,False,False,True,False,True,15%
README_38,False,False,True,False,True,15%
README_50,False,False,True,False,True,15%
README_54,False,False,True,False,True,15%
README_55,False,False,True,False,True,15%
README_CN_3,False,False,True,False,True,15%
recon,False,False,True,False,True,15%
reconx_engine,False,False,True,False,True,15%
REFERENCE,False,False,True,False,True,15%
reflected_xss,False,False,True,False,True,15%
registry,False,False,True,False,True,15%
release-pypi,False,False,True,False,True,15%
replay,False,False,True,False,True,15%
report-snippet,False,False,True,False,True,15%
report_18,False,False,True,False,True,15%
report_injector,False,False,True,False,True,15%
report_injector_1,False,False,True,False,True,15%
requirements_6,False,False,True,False,True,15%
reset_juice_shop,False,False,True,False,True,15%
retrieval_postprocess,False,False,True,False,True,15%
retry,False,False,True,False,True,15%
review,False,False,True,False,True,15%
robot,False,False,True,False,True,15%
robot_en,False,False,True,False,True,15%
roles,False,False,True,False,True,15%
route_correlator,False,False,True,False,True,15%
RunCommand,False,False,True,False,True,15%
runner,False,False,True,False,True,15%
saml_xsw,False,False,True,False,True,15%
sandbox,False,False,True,False,True,15%
sanitize,False,False,True,False,True,15%
schedulertest,False,False,True,False,True,15%
scheduler_2,False,False,True,False,True,15%
schema-gen-agent,False,False,True,False,True,15%
scope,False,False,True,False,True,15%
search,False,False,True,False,True,15%
SecurityHeaderAnalyzertest,False,False,True,False,True,15%
server,False,False,True,False,True,15%
service,False,False,True,False,True,15%
services_commands,False,False,True,False,True,15%
service_intelligence_view,False,False,True,False,True,15%
settings,False,False,True,False,True,15%
shared,False,False,True,False,True,15%
sherlock,False,False,True,False,True,15%
shodan_api,False,False,True,False,True,15%
shodan_apicpython-313,False,False,True,False,True,15%
shodan_search,False,False,True,False,True,15%
sitemap-agent,False,False,True,False,True,15%
SKILL,False,False,True,False,True,15%
skills,False,False,True,False,True,15%
SKILL_11,False,False,True,False,True,15%
SKILL_13,False,False,True,False,True,15%
SKILL_3,False,False,True,False,True,15%
SKILL_7,False,False,True,False,True,15%
SKILL_9,False,False,True,False,True,15%
source-gen-agent,False,False,True,False,True,15%
ssti_polyglot,False,False,True,False,True,15%
status,False,False,True,False,True,15%
stored_xss,False,False,True,False,True,15%
style,False,False,True,False,True,15%
sub_agent_context,False,False,True,False,True,15%
sub_agent_context_test,False,False,True,False,True,15%
SUMMARY,False,False,True,False,True,15%
swagger_2,False,False,True,False,True,15%
swagger_parser,False,False,True,False,True,15%
tasks,False,False,True,False,True,15%
telemetry,False,False,True,False,True,15%
terminal,False,False,True,False,True,15%
test-cortex-integration,False,False,True,False,True,15%
test-gen-agent,False,False,True,False,True,15%
testLogin,False,False,True,False,True,15%
test_agent_loop,False,False,True,False,True,15%
test_agent_mode_cli,False,False,True,False,True,15%
test_anthropic_agent,False,False,True,False,True,15%
test_auth_profiles,False,False,True,False,True,15%
test_auth_profile_cli,False,False,True,False,True,15%
test_auth_runner,False,False,True,False,True,15%
test_benchmarks_scoring_common,False,False,True,False,True,15%
test_browser_agent,False,False,True,False,True,15%
test_chain,False,False,True,False,True,15%
test_chain_quality,False,False,True,False,True,15%
test_config,False,False,True,False,True,15%
test_connection,False,False,True,False,True,15%
test_handler_web_probes,False,False,True,False,True,15%
test_langfuse_1,False,False,True,False,True,15%
test_legacy_probe_migration,False,False,True,False,True,15%
test_llm,False,False,True,False,True,15%
test_llm_e2e_smoke,False,False,True,False,True,15%
test_mcp_action_surface,False,False,True,False,True,15%
test_new_high_roi_probes,False,False,True,False,True,15%
test_probe_cors_reflection,False,False,True,False,True,15%
test_probe_coupon_forging,False,False,True,False,True,15%
test_probe_cve_poc,False,False,True,False,True,15%
test_probe_deserialization,False,False,True,False,True,15%
test_probe_dom_xss,False,False,True,False,True,15%
test_probe_file_upload_validation,False,False,True,False,True,15%
test_probe_forced_error,False,False,True,False,True,15%
test_probe_graphql_introspection,False,False,True,False,True,15%
test_probe_hidden_discovery,False,False,True,False,True,15%
test_probe_host_header_reset_poisoning,False,False,True,False,True,15%
test_probe_idor_authenticated,False,False,True,False,True,15%
test_probe_idor_authz_differential,False,False,True,False,True,15%
test_probe_idor_sequential,False,False,True,False,True,15%
test_probe_ldap_injection,False,False,True,False,True,15%
test_probe_mass_assignment,False,False,True,False,True,15%
test_probe_path_traversal,False,False,True,False,True,15%
test_probe_primitives,False,False,True,False,True,15%
test_probe_prototype_pollution,False,False,True,False,True,15%
test_probe_race_condition,False,False,True,False,True,15%
test_probe_reflected_xss,False,False,True,False,True,15%
test_probe_registry,False,False,True,False,True,15%
test_probe_ssti_stored,False,False,True,False,True,15%
test_probe_stored_xss,False,False,True,False,True,15%
test_probe_web3,False,False,True,False,True,15%
test_probe_web_cache_deception,False,False,True,False,True,15%
test_probe_xxe_upload,False,False,True,False,True,15%
test_providers,False,False,True,False,True,15%
test_registry_bridge,False,False,True,False,True,15%
test_scope,False,False,True,False,True,15%
test_spa_probes,False,False,True,False,True,15%
test_specialist_agents_coverage,False,False,True,False,True,15%
test_stage1,False,False,True,False,True,15%
test_tracing_and_telemetry,False,False,True,False,True,15%
test_working_memory,False,False,True,False,True,15%
tracing,False,False,True,False,True,15%
traffic_parser,False,False,True,False,True,15%
train-filternet,False,False,True,False,True,15%
train-simple,False,False,True,False,True,15%
TROUBLESHOOTING,False,False,True,False,True,15%
truncate,False,False,True,False,True,15%
trusted_header_bypass,False,False,True,False,True,15%
types,False,False,True,False,True,15%
unauthed-decision-log,False,False,True,False,True,15%
upgrade,False,False,True,False,True,15%
urlscan,False,False,True,False,True,15%
utils_2,False,False,True,False,True,15%
validate-authentication,False,False,True,False,True,15%
vuln-auth_3,False,False,True,False,True,15%
vuln-ssrf_3,False,False,True,False,True,15%
vulnerability,False,False,True,False,True,15%
wayback,False,False,True,False,True,15%
waybackurls,False,False,True,False,True,15%
web3_probe,False,False,True,False,True,15%
webshell,False,False,True,False,True,15%
web_intelligence_view,False,False,True,False,True,15%
web_parser,False,False,True,False,True,15%
web_probes,False,False,True,False,True,15%
wechat-robot,False,False,True,False,True,15%
wechat_robot,False,False,True,False,True,15%
wordlist,False,False,True,False,True,15%
workflow-errors,False,False,True,False,True,15%
workflows,False,False,True,False,True,15%
workflow_engine_1,False,False,True,False,True,15%
wpscan,False,False,True,False,True,15%
writer,False,False,True,False,True,15%
xxe_upload,False,False,True,False,True,15%
zap,False,False,True,False,True,15%
__init___112,False,False,True,False,True,15%
__init___115,False,False,True,False,True,15%
__init___116,False,False,True,False,True,15%
__init___142,False,False,True,False,True,15%
__init___146,False,False,True,False,True,15%
__init___153,False,False,True,False,True,15%
__init___203,False,False,True,False,True,15%
__init___22,False,False,True,False,True,15%
__init___34,False,False,True,False,True,15%
__init___64,False,False,True,False,True,15%
builtin-tools,False,False,True,False,True,15%
constants,False,False,True,False,True,15%
CyberStrikeAIClientStreamListener,False,False,True,False,True,15%
CyberStrikeAITab1,False,False,True,False,True,15%
CyberStrikeAITabDotIcon,False,False,True,False,True,15%
headers_inject,False,False,True,False,True,15%
hexstrike-ai-mcp,False,False,True,False,True,15%
main,False,False,True,False,True,15%
mcp,False,False,True,False,True,15%
mcp_tools_test,False,False,True,False,True,15%
monitor_1,False,False,True,False,True,15%
options,False,False,True,False,True,15%
README_6,False,False,True,False,True,15%
SimpleJson,False,False,True,False,True,15%
sse_keepalive,False,False,True,False,True,15%
SslTrustAll1,False,False,True,False,True,15%
SslTrustAllTimeoutSslSocketFactory,False,False,True,False,True,15%
test_file_transfer,False,False,True,False,True,15%
test_handlers_misc,False,False,True,False,True,15%
__init___38,False,False,True,False,True,15%
__init___55,False,False,True,False,True,15%
__main__,False,False,True,False,True,15%
404StarLinkLogo,False,True,False,False,True,20%
agent-management,False,True,False,False,True,20%
agents-for,False,True,False,False,True,20%
ai_analysis,False,True,False,False,True,20%
alterations,False,True,False,False,True,20%
announcements,False,True,False,False,True,20%
AUP,False,True,False,False,True,20%
auth_profiles,False,True,False,False,True,20%
aws,False,True,False,False,True,20%
aws_recon,False,True,False,False,True,20%
aws_sm,False,True,False,False,True,20%
azure,False,True,False,False,True,20%
azure_recon,False,True,False,False,True,20%
banner_2,False,True,False,False,True,20%
benchmark_runner,False,True,False,False,True,20%
bizlogic-hunter,False,True,False,False,True,20%
bucket_correlator,False,True,False,False,True,20%
bug_report,False,True,False,False,True,20%
ccr-config-template,False,True,False,False,True,20%
chat,False,True,False,False,True,20%
chatgpt_config_curl,False,True,False,False,True,20%
ChatGPT_key,False,True,False,False,True,20%
checkov,False,True,False,False,True,20%
ci_1,False,True,False,False,True,20%
ci_cd_cloud,False,True,False,False,True,20%
ci_cd_cloud_mapper,False,True,False,False,True,20%
claude-executor,False,True,False,False,True,20%
CLAUDE_2,False,True,False,False,True,20%
CLAUDE_3,False,True,False,False,True,20%
clear,False,True,False,False,True,20%
cli,False,True,False,False,True,20%
cloud-security,False,True,False,False,True,20%
cloudfront_mapper,False,True,False,False,True,20%
cloudmapper,False,True,False,False,True,20%
cloud_agent,False,True,False,False,True,20%
