File,Tool,Implementation Status,Missing Components
plugins\osint\_safety\plugin.py,_safety,Partially implemented,pass
plugins\osint\__init___125\plugin.py,__init___125,Partially implemented,pass
plugins\osint\__init___128\plugin.py,__init___128,Partially implemented,pass
plugins\recon\2dd29513_findings\plugin.py,2dd29513_findings,Partially implemented,pass
plugins\recon\2dd29513_run_B_safe\plugin.py,2dd29513_run_B_safe,Partially implemented,pass
plugins\recon\acquifinder\plugin.py,acquifinder,Fully implemented,
plugins\recon\active\plugin.py,active,Partially implemented,pass
plugins\recon\active-crawl\plugin.py,active-crawl,Partially implemented,pass
plugins\recon\active_recon\plugin.py,active_recon,Fully implemented,
plugins\recon\active_scanning\plugin.py,active_scanning,Partially implemented,pass
plugins\recon\active_test\plugin.py,active_test,Partially implemented,pass
plugins\recon\activities\plugin.py,activities,Partially implemented,pass
plugins\recon\activity-logger\plugin.py,activity-logger,Partially implemented,pass
plugins\recon\activity-logger_1\plugin.py,activity-logger_1,Partially implemented,pass
plugins\recon\activity_feed\plugin.py,activity_feed,Partially implemented,pass
plugins\recon\ad-attacker\plugin.py,ad-attacker,Partially implemented,pass
plugins\recon\adapter\plugin.py,adapter,Partially implemented,pass
plugins\recon\addr\plugin.py,addr,Partially implemented,pass
plugins\recon\ad_agent\plugin.py,ad_agent,Partially implemented,pass
plugins\recon\agent\plugin.py,agent,Partially implemented,pass
plugins\recon\agent-execution\plugin.py,agent-execution,Partially implemented,pass
plugins\recon\AGENTS\plugin.py,AGENTS,Partially implemented,pass
plugins\recon\AGENTS_1\plugin.py,AGENTS_1,Partially implemented,pass
plugins\recon\agent_1\plugin.py,agent_1,Partially implemented,pass
plugins\recon\agent_3\plugin.py,agent_3,Partially implemented,pass
plugins\recon\agent_loop\plugin.py,agent_loop,Partially implemented,pass
plugins\recon\agent_runner\plugin.py,agent_runner,Partially implemented,pass
plugins\recon\agent_test\plugin.py,agent_test,Partially implemented,pass
plugins\recon\agent_trace\plugin.py,agent_trace,Partially implemented,pass
plugins\recon\agent_trace_test\plugin.py,agent_trace_test,Partially implemented,pass
plugins\recon\alerts\plugin.py,alerts,Partially implemented,pass
plugins\recon\alerts_1\plugin.py,alerts_1,Partially implemented,pass
plugins\recon\alienvault\plugin.py,alienvault,Partially implemented,pass
plugins\recon\alterx\plugin.py,alterx,Partially implemented,pass
plugins\recon\amass\plugin.py,amass,Partially implemented,pass
plugins\recon\amass_2\plugin.py,amass_2,Partially implemented,pass
plugins\recon\analyze_repos\plugin.py,analyze_repos,Partially implemented,pass
plugins\recon\anomaly_detector\plugin.py,anomaly_detector,Partially implemented,pass
plugins\recon\anomaly_engine\plugin.py,anomaly_engine,Partially implemented,pass
plugins\recon\anthropic\plugin.py,anthropic,Partially implemented,pass
plugins\recon\anthropic_agent\plugin.py,anthropic_agent,Partially implemented,pass
plugins\recon\anthropic_official\plugin.py,anthropic_official,Partially implemented,pass
plugins\recon\anubis\plugin.py,anubis,Partially implemented,pass
plugins\recon\apex\plugin.py,apex,Partially implemented,pass
plugins\recon\api\plugin.py,api,Partially implemented,pass
plugins\recon\api-discoverer-agent\plugin.py,api-discoverer-agent,Partially implemented,pass
plugins\recon\api-discovery\plugin.py,api-discovery,Partially implemented,pass
plugins\recon\api-discoverytest\plugin.py,api-discoverytest,Partially implemented,pass
plugins\recon\api-docs\plugin.py,api-docs,Partially implemented,pass
plugins\recon\api-schema-analyzer\plugin.py,api-schema-analyzer,Partially implemented,pass
plugins\recon\api-security\plugin.py,api-security,Partially implemented,pass
plugins\recon\apitest\plugin.py,apitest,Partially implemented,pass
plugins\recon\api_attack_surface\plugin.py,api_attack_surface,Partially implemented,pass
plugins\recon\api_authentication\plugin.py,api_authentication,Partially implemented,pass
plugins\recon\api_fingerprint\plugin.py,api_fingerprint,Partially implemented,pass
plugins\recon\api_models\plugin.py,api_models,Partially implemented,pass
plugins\recon\api_path_discovery\plugin.py,api_path_discovery,Partially implemented,pass
plugins\recon\api_pipeline\plugin.py,api_pipeline,Partially implemented,pass
plugins\recon\api_security_agent\plugin.py,api_security_agent,Partially implemented,pass
plugins\recon\api_surface_mapper\plugin.py,api_surface_mapper,Partially implemented,pass
plugins\recon\app\plugin.py,app,Partially implemented,pass
plugins\recon\apply_triage_labels\plugin.py,apply_triage_labels,Partially implemented,pass
plugins\recon\app_2\plugin.py,app_2,Partially implemented,pass
plugins\recon\app_3\plugin.py,app_3,Partially implemented,pass
plugins\recon\app_config\plugin.py,app_config,Partially implemented,pass
plugins\recon\aquatone\plugin.py,aquatone,Partially implemented,pass
plugins\recon\arbiter\plugin.py,arbiter,Partially implemented,pass
plugins\recon\architect-infer-agent\plugin.py,architect-infer-agent,Partially implemented,pass
plugins\recon\ARCHITECTURE\plugin.py,ARCHITECTURE,Partially implemented,pass
plugins\recon\ARCHITECTURE_1\plugin.py,ARCHITECTURE_1,Partially implemented,pass
plugins\recon\ARCHITECTURE_2\plugin.py,ARCHITECTURE_2,Partially implemented,pass
plugins\recon\arjun_tool\plugin.py,arjun_tool,Partially implemented,pass
plugins\recon\artifact-manifest\plugin.py,artifact-manifest,Partially implemented,pass
plugins\recon\asn\plugin.py,asn,Fully implemented,
plugins\recon\asncache\plugin.py,asncache,Partially implemented,pass
plugins\recon\asnmap\plugin.py,asnmap,Partially implemented,pass
plugins\recon\asn_intel\plugin.py,asn_intel,Fully implemented,
plugins\recon\assetfinder\plugin.py,assetfinder,Partially implemented,pass
plugins\recon\assets\plugin.py,assets,Partially implemented,pass
plugins\recon\assets_test\plugin.py,assets_test,Partially implemented,pass
plugins\recon\asset_classifier\plugin.py,asset_classifier,Partially implemented,pass
plugins\recon\asset_decode\plugin.py,asset_decode,Partially implemented,pass
plugins\recon\asset_secrets_scan\plugin.py,asset_secrets_scan,Partially implemented,pass
plugins\recon\assoc\plugin.py,assoc,Partially implemented,pass
plugins\recon\asvs-mapper\plugin.py,asvs-mapper,Partially implemented,pass
plugins\recon\async_prompt\plugin.py,async_prompt,Partially implemented,pass
plugins\recon\attach\plugin.py,attach,Partially implemented,pass
plugins\recon\attach_test\plugin.py,attach_test,Partially implemented,pass
plugins\recon\attack-chain\plugin.py,attack-chain,Partially implemented,pass
plugins\recon\attack-planner\plugin.py,attack-planner,Partially implemented,pass
plugins\recon\attack-surface-enumeration\plugin.py,attack-surface-enumeration,Partially implemented,pass
plugins\recon\attackchain\plugin.py,attackchain,Partially implemented,pass
plugins\recon\attack_surface_mapper\plugin.py,attack_surface_mapper,Partially implemented,pass
plugins\recon\attack_surface_mapping\plugin.py,attack_surface_mapping,Partially implemented,pass
plugins\recon\audit\plugin.py,audit,Partially implemented,pass
plugins\recon\audit-logger\plugin.py,audit-logger,Partially implemented,pass
plugins\recon\audit-session\plugin.py,audit-session,Partially implemented,pass
plugins\recon\audit_1\plugin.py,audit_1,Partially implemented,pass
plugins\recon\aup_consent\plugin.py,aup_consent,Partially implemented,pass
plugins\recon\auth\plugin.py,auth,Partially implemented,pass
plugins\recon\auth-flow-analyzer\plugin.py,auth-flow-analyzer,Partially implemented,pass
plugins\recon\authed-findings\plugin.py,authed-findings,Partially implemented,pass
plugins\recon\authed-stderr\plugin.py,authed-stderr,Partially implemented,pass
plugins\recon\authenticated_scan\plugin.py,authenticated_scan,Partially implemented,pass
plugins\recon\auth_2\plugin.py,auth_2,Partially implemented,pass
plugins\recon\auth_analyzer\plugin.py,auth_analyzer,Partially implemented,pass
plugins\recon\auth_cache\plugin.py,auth_cache,Partially implemented,pass
plugins\recon\auth_handler\plugin.py,auth_handler,Partially implemented,pass
plugins\recon\auth_manager\plugin.py,auth_manager,Partially implemented,pass
plugins\recon\auth_session\plugin.py,auth_session,Partially implemented,pass
plugins\recon\autnum\plugin.py,autnum,Partially implemented,pass
plugins\recon\autsys\plugin.py,autsys,Partially implemented,pass
plugins\recon\autsys_1\plugin.py,autsys_1,Partially implemented,pass
plugins\recon\axiom\plugin.py,axiom,Partially implemented,pass
plugins\recon\backend\plugin.py,backend,Partially implemented,pass
plugins\recon\backlog\plugin.py,backlog,Partially implemented,pass
plugins\recon\backlog_1\plugin.py,backlog_1,Partially implemented,pass
plugins\recon\backlog_test\plugin.py,backlog_test,Partially implemented,pass
plugins\recon\banner\plugin.py,banner,Partially implemented,pass
plugins\recon\banners\plugin.py,banners,Partially implemented,pass
plugins\recon\banner_3\plugin.py,banner_3,Partially implemented,pass
plugins\recon\banner_analyzer\plugin.py,banner_analyzer,Partially implemented,pass
plugins\recon\banner_url\plugin.py,banner_url,Partially implemented,pass
plugins\recon\base\plugin.py,base,Partially implemented,pass
plugins\recon\base-agent\plugin.py,base-agent,Partially implemented,pass
plugins\recon\base_1\plugin.py,base_1,Partially implemented,pass
plugins\recon\base_3\plugin.py,base_3,Partially implemented,pass
plugins\recon\base_5\plugin.py,base_5,Partially implemented,pass
plugins\recon\base_tool\plugin.py,base_tool,Partially implemented,pass
