Repository,Tier
INSTALL_2,Tier 5
jina,Tier 5
js-analysis,Tier 5
juiceshop,Tier 5
jwt_jku_x5u_ssrf,Tier 5
knowledge,Tier 5
knowledgejs,Tier 5
knowledge_base,Tier 5
langfuse,Tier 5
lark,Tier 5
ldap_injection,Tier 5
legacy,Tier 5
LICENSE,Tier 5
LICENSE_1,Tier 5
LICENSE_10,Tier 5
LICENSE_12,Tier 5
LICENSE_13,Tier 5
LICENSE_2,Tier 5
LICENSE_4,Tier 5
LICENSE_6,Tier 5
LICENSE_7,Tier 5
LICENSE_9,Tier 5
llm,Tier 5
llm-analysis,Tier 5
llm-client,Tier 5
llm-clienttest,Tier 5
llm-clienttest_1,Tier 5
llm-client_1,Tier 5
llm_api,Tier 5
loader_1,Tier 5
LOCAL-SETUP,Tier 5
main_4,Tier 4
main_5,Tier 4
manager_2,Tier 5
markdown,Tier 5
MarkdownRenderer,Tier 5
markdown_agents,Tier 5
masscan,Tier 5
masscan_2,Tier 5
mass_assignment,Tier 5
mcp_client,Tier 5
mcp_manager,Tier 5
mcp_setup,Tier 5
memory_compressor,Tier 5
message-handlers,Tier 5
metrics-tracker,Tier 5
models_1,Tier 5
models_5,Tier 5
module_import,Tier 5
monitor,Tier 1
multi_agent,Tier 5
MULTI_AGENT_EINO,Tier 5
nikto_tool,Tier 5
nmap-irc,Tier 5
notifications,Tier 5
no_nested_task,Tier 5
ollama_api,Tier 5
openai,Tier 4
openapi,Tier 2
openapi-discovery-agent,Tier 5
openapi_i18n,Tier 5
openapi_parser,Tier 5
open_ai,Tier 5
oracle-patator,Tier 5
orchestrator-plan-execute,Tier 5
orchestrator-supervisor,Tier 5
orphan_tool_pruner_middleware,Tier 5
osrframework,Tier 5
package_1,Tier 5
package_5,Tier 5
parameter_mapper,Tier 5
password_reset_weak,Tier 5
path_traversal,Tier 5
penetration,Tier 5
pentest-ai,Tier 5
pentest_agent,Tier 5
pentest_gpt,Tier 5
pentest_gpt_rebuilt,Tier 5
pent_claude_agent_config,Tier 5
perplexity,Tier 5
persistencetest,Tier 5
playwright-config-writer,Tier 5
plugin_loader_1,Tier 5
poc_agent,Tier 5
pom,Tier 5
postman_parser,Tier 5
pre-recon-code_2,Tier 5
privilege_escalation_patch,Tier 5
project_manager,Tier 5
prototype_pollution,Tier 5
pyproject,Tier 5
quake_search,Tier 5
queue,Tier 5
race_condition,Tier 5
reactive-verifier,Tier 5
READMEzh-CN,Tier 5
README_10,Tier 5
README_11,Tier 5
README_13,Tier 5
README_15,Tier 5
README_32,Tier 5
README_33,Tier 5
README_38,Tier 5
README_50,Tier 5
README_54,Tier 5
README_55,Tier 5
README_CN_3,Tier 5
recon,Tier 5
reconx_engine,Tier 5
REFERENCE,Tier 5
reflected_xss,Tier 5
registry,Tier 1
release-pypi,Tier 5
replay,Tier 5
report-snippet,Tier 5
report_18,Tier 5
report_injector,Tier 5
report_injector_1,Tier 5
requirements_6,Tier 5
reset_juice_shop,Tier 5
retrieval_postprocess,Tier 5
retry,Tier 5
review,Tier 5
robot,Tier 5
robot_en,Tier 5
roles,Tier 5
route_correlator,Tier 5
RunCommand,Tier 5
runner,Tier 5
saml_xsw,Tier 5
sandbox,Tier 5
sanitize,Tier 5
schedulertest,Tier 5
scheduler_2,Tier 5
schema-gen-agent,Tier 5
scope,Tier 1
search,Tier 5
SecurityHeaderAnalyzertest,Tier 5
server,Tier 1
service,Tier 5
services_commands,Tier 5
service_intelligence_view,Tier 5
settings,Tier 5
shared,Tier 5
sherlock,Tier 5
shodan_api,Tier 5
shodan_apicpython-313,Tier 5
shodan_search,Tier 5
sitemap-agent,Tier 5
SKILL,Tier 5
SKILL_11,Tier 5
SKILL_13,Tier 5
SKILL_3,Tier 5
SKILL_7,Tier 5
SKILL_9,Tier 5
source-gen-agent,Tier 5
ssti_polyglot,Tier 5
status,Tier 5
stored_xss,Tier 5
style,Tier 5
sub_agent_context,Tier 5
sub_agent_context_test,Tier 5
SUMMARY,Tier 5
swagger_2,Tier 5
swagger_parser,Tier 5
tasks,Tier 5
telemetry,Tier 5
terminal,Tier 5
test-cortex-integration,Tier 5
test-gen-agent,Tier 5
testLogin,Tier 5
test_agent_loop,Tier 5
test_agent_mode_cli,Tier 5
test_anthropic_agent,Tier 5
test_auth_profiles,Tier 5
test_auth_profile_cli,Tier 5
test_auth_runner,Tier 5
test_benchmarks_scoring_common,Tier 5
test_browser_agent,Tier 5
test_chain,Tier 5
test_chain_quality,Tier 5
test_config,Tier 5
test_connection,Tier 5
test_handler_web_probes,Tier 5
test_langfuse_1,Tier 5
test_legacy_probe_migration,Tier 5
test_llm,Tier 5
test_llm_e2e_smoke,Tier 5
test_mcp_action_surface,Tier 5
test_new_high_roi_probes,Tier 5
test_probe_cors_reflection,Tier 5
test_probe_coupon_forging,Tier 5
test_probe_cve_poc,Tier 5
test_probe_deserialization,Tier 5
test_probe_dom_xss,Tier 5
test_probe_file_upload_validation,Tier 5
test_probe_forced_error,Tier 5
test_probe_graphql_introspection,Tier 5
test_probe_hidden_discovery,Tier 5
test_probe_host_header_reset_poisoning,Tier 5
test_probe_idor_authenticated,Tier 5
test_probe_idor_authz_differential,Tier 5
test_probe_idor_sequential,Tier 5
test_probe_ldap_injection,Tier 5
test_probe_mass_assignment,Tier 5
test_probe_path_traversal,Tier 5
test_probe_primitives,Tier 5
test_probe_prototype_pollution,Tier 5
test_probe_race_condition,Tier 5
test_probe_reflected_xss,Tier 5
test_probe_registry,Tier 5
test_probe_ssti_stored,Tier 5
test_probe_stored_xss,Tier 5
test_probe_web3,Tier 5
test_probe_web_cache_deception,Tier 5
test_probe_xxe_upload,Tier 5
test_providers,Tier 5
test_registry_bridge,Tier 5
test_scope,Tier 5
test_spa_probes,Tier 5
test_specialist_agents_coverage,Tier 5
test_stage1,Tier 5
test_tracing_and_telemetry,Tier 5
test_working_memory,Tier 5
tracing,Tier 5
traffic_parser,Tier 5
train-filternet,Tier 5
train-simple,Tier 5
TROUBLESHOOTING,Tier 5
truncate,Tier 5
trusted_header_bypass,Tier 5
types,Tier 5
unauthed-decision-log,Tier 5
upgrade,Tier 5
urlscan,Tier 5
utils_2,Tier 5
vuln-auth_3,Tier 5
vuln-ssrf_3,Tier 5
vulnerability,Tier 5
wayback,Tier 5
waybackurls,Tier 5
web3_probe,Tier 5
webshell,Tier 2
web_intelligence_view,Tier 5
web_parser,Tier 5
web_probes,Tier 5
wechat-robot,Tier 5
wechat_robot,Tier 5
wordlist,Tier 5
workflow-errors,Tier 5
workflows,Tier 5
workflow_engine_1,Tier 5
wpscan,Tier 5
writer,Tier 5
xxe_upload,Tier 5
zap,Tier 5
__init___112,Tier 5
__init___115,Tier 5
__init___116,Tier 5
__init___142,Tier 5
__init___146,Tier 5
__init___153,Tier 5
__init___203,Tier 5
__init___22,Tier 5
__init___34,Tier 5
__init___64,Tier 5
builtin-tools,Tier 5
CyberStrikeAIClientStreamListener,Tier 5
CyberStrikeAITab1,Tier 5
CyberStrikeAITabDotIcon,Tier 5
headers_inject,Tier 5
hexstrike-ai-mcp,Tier 5
main,Tier 4
mcp,Tier 5
mcp_tools_test,Tier 5
monitor_1,Tier 5
options,Tier 5
README_6,Tier 5
SimpleJson,Tier 5
sse_keepalive,Tier 5
SslTrustAll1,Tier 5
SslTrustAllTimeoutSslSocketFactory,Tier 5
test_file_transfer,Tier 5
test_handlers_misc,Tier 5
__init___38,Tier 5
__init___55,Tier 5
__main__,Tier 5
404StarLinkLogo,Tier 5
agent-management,Tier 5
agents-for,Tier 5
ai_analysis,Tier 5
alterations,Tier 1
announcements,Tier 5
AUP,Tier 5
auth_profiles,Tier 1
aws,Tier 5
aws_recon,Tier 1
aws_sm,Tier 1
azure,Tier 5
azure_recon,Tier 1
banner_2,Tier 5
benchmark_runner,Tier 1
bizlogic-hunter,Tier 5
bucket_correlator,Tier 1
bug_report,Tier 5
ccr-config-template,Tier 5
chat,Tier 1
chatgpt_config_curl,Tier 5
ChatGPT_key,Tier 5
checkov,Tier 5
ci_1,Tier 5
ci_cd_cloud,Tier 5
ci_cd_cloud_mapper,Tier 1
claude-executor,Tier 1
CLAUDE_2,Tier 5
CLAUDE_3,Tier 5
clear,Tier 5
cli,Tier 1
cloud-security,Tier 5
cloudfront_mapper,Tier 1
cloudmapper,Tier 5
cloud_agent,Tier 4
cloud_attack_surface,Tier 5
cloud_enum,Tier 5
cloud_fingerprint,Tier 1
cloud_models,Tier 1
cloud_pipeline,Tier 1
cloud_storage,Tier 5
conftest_2,Tier 1
container-breakout,Tier 5
CUSTOMIZATION,Tier 5
CyberStrikeAITab,Tier 5
dec-2025,Tier 5
demo,Tier 5
demo_1,Tier 5
dependabot_3,Tier 5
devcontainer,Tier 5
DISCLAIMER,Tier 5
docker,Tier 5
docker-compose,Tier 5
docker-compose_1,Tier 5
docker-compose_2,Tier 5
docker-compose_3,Tier 5
Dockerfile_4,Tier 5
Dockerfile_7,Tier 5
Dockerfile_9,Tier 5
docker_2,Tier 5
docker_manager,Tier 1
docker_nightly,Tier 5
docker_registry_analyzer,Tier 1
domains,Tier 4
embedder,Tier 1
engagement-planner,Tier 5
entrypoint,Tier 1
env,Tier 1
env_3,Tier 5
example-stig-finding,Tier 5
executor_test,Tier 1
exploit-auth,Tier 5
exploit-authz,Tier 5
exploit-authz_2,Tier 5
exploit-auth_2,Tier 5
exploit-injection,Tier 5
exploit-xss,Tier 5
exploit-xss_2,Tier 5
export_menu,Tier 5
factory,Tier 1
fill-legal,Tier 1
fingerprinter,Tier 1
fingerprintertest,Tier 1
fix-workspace-permissions,Tier 1
gcp,Tier 5
gcp_recon,Tier 1
github-banner,Tier 5
gitleaks,Tier 5
go_2,Tier 5
graphw00f,Tier 1
hexstrike-logo,Tier 5
home,Tier 1
index_5,Tier 1
javascript,Tier 5
js-harvester-agent,Tier 4
kube-bench,Tier 5
kube-hunter,Tier 5
kubernetes,Tier 5
launch-config,Tier 5
leaksapi-banner,Tier 5
leaksapi-logo,Tier 5
LICENSE_5,Tier 5
litellm_provider,Tier 1
logo_3,Tier 5
main_13,Tier 4
main_menu,Tier 5
Makefile,Tier 5
mindmap_obsidian,Tier 5
misconfig-detector,Tier 1
misconfigtest,Tier 1
mobile-pentester,Tier 5
mode,Tier 1
orchestrator,Tier 5
outputs,Tier 5
package_3,Tier 5
pacu,Tier 5
pentestgpt_executor,Tier 1
PentestGPT_Hackable2,Tier 5
plugins,Tier 1
pnpm-lock,Tier 5
poc-validator,Tier 5
pre-recon-code,Tier 5
privesc-advisor,Tier 5
privesc_agent,Tier 4
prowler,Tier 5
pyproject_3,Tier 5
quick-start,Tier 5
README_21,Tier 5
README_22,Tier 5
README_28,Tier 5
README_29,Tier 5
README_30,Tier 5
reconcloud,Tier 1
reconx,Tier 1
release-beta,Tier 5
release_1,Tier 5
requirements_7,Tier 5
resolver,Tier 1
results,Tier 5
role-management,Tier 5
rollback,Tier 5
rsecloud,Tier 1
s3scanner,Tier 2
s3_scanner,Tier 2
sarif,Tier 1
scan_pipeline,Tier 2
scan_running,Tier 5
scout-suite,Tier 5
Screenshot2,Tier 5
Screenshot3,Tier 5
Screenshot4,Tier 5
secret-scanner-agent,Tier 4
secure_credential,Tier 1
security,Tier 5
SECURITY_3,Tier 5
selection_agent,Tier 4
server_mcp_pentest_18,Tier 5
service_analyzer,Tier 1
service_correlator_1,Tier 1
settings_2,Tier 5
setup,Tier 3
setup_1,Tier 3
shannon-banner,Tier 5
SHANNON-PRO_1,Tier 5
shannon-report-capital-api,Tier 5
shannon-screen,Tier 5
shodan,Tier 1
six2dez_reconftw-stars-history,Tier 5
SKILL_1,Tier 5
SKILL_14,Tier 5
SKILL_16,Tier 5
SKILL_17,Tier 5
SKILL_4,Tier 5
social-engineer,Tier 5
sponsor-wechat-alipay-qr,Tier 5
ssrf_cloud_metadata,Tier 1
ssrf_payloads,Tier 5
stop,Tier 1
tch,Tier 5
tcp_beacon_server,Tier 1
teardown,Tier 1
techdetect,Tier 1
terraform-reconFTW,Tier 5
test_ad_agent_e2e_smoke,Tier 4
test_agents,Tier 4
test_benchmark_cli,Tier 1
test_chain_context_discriminator,Tier 4
test_cli_menu,Tier 1
test_cloud_agent_e2e_smoke,Tier 4
test_container_health,Tier 4
test_docker_build,Tier 1
test_flag_detection,Tier 1
test_litellm_provider,Tier 1
test_misc_coverage_2,Tier 1
test_probe_ssrf_cloud_metadata,Tier 1
test_providers_and_small_agents,Tier 4
test_selection_agent,Tier 4
trufflehog,Tier 1
type_confusion,Tier 1
uninstall,Tier 1
USAGE,Tier 5
usage_input,Tier 5
usage_output,Tier 5
usage_server1,Tier 5
usage_server2,Tier 5
variables,Tier 5
vectorDB,Tier 1
vuln-auth,Tier 5
vuln-authz,Tier 5
vuln-authz_2,Tier 5
vuln-auth_2,Tier 5
vuln-injection,Tier 5
vuln-injection_2,Tier 5
vuln-xss,Tier 5
vuln-xss_2,Tier 5
vulnerability-management,Tier 5
waf-detector-agent,Tier 4
wafw00f,Tier 1
web-console,Tier 5
wechat-group-cyberstrikeai-qr,Tier 5
workflow_center,Tier 1
workspaces,Tier 1
zh-CN,Tier 5
_10,Tier 5
__init___119,Tier 1
__init___26,Tier 1
__init___78,Tier 1
osint,Tier 5
test_osint_domain_info_msftrecon,Tier 5
whois,Tier 5
common,Tier 5
hashpump,Tier 5
libc-database,Tier 5
linpeas,Tier 5
one-gadget,Tier 5
output_parser,Tier 5
pwninit,Tier 5
README_31,Tier 5
score_juiceshop,Tier 5
steghide,Tier 5
test_session,Tier 5
zsteg,Tier 5
__init___219,Tier 5
AGENT-GUIDE,Tier 5
agent_mode_controller,Tier 5
attackchain_1,Tier 5
balanced-active-scan,Tier 5
BigQueryInjection,Tier 5
cache,Tier 5
CassandraInjection,Tier 5
checkpoint-provider,Tier 5
concurrency,Tier 5
container,Tier 5
context,Tier 5
conversation_1,Tier 5
cve_mapper,Tier 5
cvss,Tier 5
database,Tier 5
DB2Injection,Tier 5
db_1,Tier 5
db_test,Tier 5
deliverables,Tier 5
detection_agent,Tier 5
eino_adk_run_loop,Tier 5
eino_meta_test,Tier 5
eino_retriever_adapter,Tier 5
eino_retrieve_chain,Tier 5
eino_sqlite_indexer,Tier 5
endpoint-prober,Tier 5
ErrorPatternAnalyzer,Tier 5
exploit-auth_1,Tier 5
exploit-auth_3,Tier 5
exploit-injection_1,Tier 5
exploit-injection_3,Tier 5
exploit-ssrf_1,Tier 5
exploit-ssrf_3,Tier 5
exploit-xss_1,Tier 5
exploit-xss_3,Tier 5
exploitation-checker,Tier 5
export,Tier 5
export-metrics,Tier 5
finalizers,Tier 5
findings,Tier 5
FINDINGS-DB,Tier 5
findings-provider,Tier 5
findings-renderer,Tier 5
generators,Tier 5
gowitness,Tier 5
Hackable2_3,Tier 5
handoff,Tier 5
index_pipeline,Tier 5
Kioptrix_level_1,Tier 5
listener_http_test,Tier 5
manager,Tier 5
manager_start_test,Tier 5
menu_system,Tier 5
metasploit,Tier 5
metasploit_aux,Tier 5
metatron,Tier 5
migrate,Tier 5
net-recon-agent,Tier 5
nikto,Tier 5
nmap-distccd,Tier 5
nmap_2,Tier 5
notification,Tier 5
output-formatter,Tier 5
output-formatters,Tier 5
payloads,Tier 5
pentestTarget,Tier 5
pipeline,Tier 5
primitives,Tier 5
prompt_class,Tier 5
pwntools,Tier 5
query-execution-result,Tier 5
queue-schemas,Tier 5
queue-validation,Tier 5
report-executive,Tier 5
report-executive_3,Tier 5
report-generator,Tier 5
reporting,Tier 1
requester,Tier 5
requestercpython-313,Tier 5
retriever,Tier 5
schema,Tier 5
schema_migrate,Tier 5
session-manager,Tier 5
settings-writer,Tier 5
SKILL_10,Tier 5
SKILL_15,Tier 5
SKILL_21,Tier 5
target,Tier 5
task,Tier 5
test_aup_consent,Tier 5
test_benchmark_registry,Tier 5
test_chain_dedup,Tier 5
test_chain_validation,Tier 5
test_cve_db,Tier 5
test_cvss,Tier 5
test_diff,Tier 5
test_findings,Tier 5
test_findings_db_reaper,Tier 5
test_findings_db_reconciler,Tier 5
test_handler_finalizers,Tier 5
test_intensity_safe,Tier 5
test_orchestrator,Tier 5
test_probe_cookie_prefix_bypass,Tier 5
test_probe_jwt_jku_x5u_ssrf,Tier 5
test_probe_nextjs_rsc_rce,Tier 5
test_probe_saml_xsw,Tier 5
test_probe_sqli_login_bypass,Tier 5
test_sarif,Tier 5
test_webhooks,Tier 5
tls-analyzer,Tier 5
TOKEN-OPTIMIZATION,Tier 5
tool,Tier 5
types_5,Tier 5
vuln-authz_3,Tier 5
vuln-injection_3,Tier 5
vuln-mapper,Tier 5
vuln-mappertest,Tier 5
vuln-ssrf_1,Tier 5
vuln-xss_1,Tier 5
vuln-xss_3,Tier 5
worker,Tier 2
working_memory,Tier 5
xsser,Tier 5
_exploit-scope,Tier 5
_exploit-scope_1,Tier 5
_vuln-scope,Tier 5
_vuln-scope_1,Tier 5
active,Tier 5
active_test,Tier 5
auth_manager,Tier 5
basic_scan,Tier 5
beacon_host,Tier 5
brute,Tier 5
bruteforce-ftp,Tier 5
bruteforce-http,Tier 5
bruteforce-rdp,Tier 5
bruteforce-smb,Tier 5
bruteforce-ssh,Tier 5
brute_test,Tier 5
cgo_specific,Tier 5
check-env,Tier 5
client_2,Tier 5
client_sdk,Tier 5
codeclimate,Tier 5
config_4,Tier 1
curl-known-security,Tier 5
curl-robots,Tier 5
CyberStrikeAIClient1,Tier 5
datasrcs_test,Tier 5
deepsource,Tier 5
dependabot_2,Tier 5
eino_retrieve_chain_test,Tier 5
entrypoint_1,Tier 5
enum4linux,Tier 5
envexpand,Tier 5
env_1,Tier 5
error,Tier 5
eslintconfig,Tier 5
execute-python-script,Tier 5
external_manager,Tier 5
external_manager_test,Tier 5
external_mcp,Tier 5
falco,Tier 5
get-arch,Tier 5
goreleaser,Tier 5
index_14,Tier 5
index_7,Tier 5
install-python-package,Tier 5
issue_importer,Tier 5
jaeles,Tier 5
ldap-search,Tier 5
lint,Tier 5
loggercpython-313,Tier 5
logger_2,Tier 5
lookup-sid,Tier 5
main_14,Tier 5
main_15,Tier 5
main_server_http_redirect,Tier 5
main_server_http_redirect_test,Tier 5
mcp_reverse_shell,Tier 5
meta,Tier 1
nbtscan,Tier 5
nmap-finger,Tier 5
nmap-kerberos,Tier 5
nmap-msrpc,Tier 5
nmap-nntp,Tier 5
nmap-redis,Tier 5
nmap-rmi,Tier 5
nmap-sip,Tier 5
nmap-ssh,Tier 5
