Plugin,Category,Repository,FileCount,Status,Notes
cloud_pipeline,cloud,cloud_pipeline,2,STUB,Placeholder code detected
cloud_storage,cloud,cloud_storage,2,STUB,Placeholder code detected
conftest_2,cloud,conftest_2,2,STUB,Placeholder code detected
container-breakout,cloud,container-breakout,2,STUB,Placeholder code detected
customization,cloud,CUSTOMIZATION,2,STUB,Placeholder code detected
cyberstrikeaitab,cloud,CyberStrikeAITab,2,STUB,Placeholder code detected
dec-2025,cloud,dec-2025,2,STUB,Placeholder code detected
demo,cloud,demo,2,STUB,Placeholder code detected
demo_1,cloud,demo_1,2,STUB,Placeholder code detected
dependabot_3,cloud,dependabot_3,2,STUB,Placeholder code detected
devcontainer,cloud,devcontainer,2,STUB,Placeholder code detected
disclaimer,cloud,DISCLAIMER,2,STUB,Placeholder code detected
docker,cloud,docker,2,STUB,Placeholder code detected
docker-compose,cloud,docker-compose,2,STUB,Placeholder code detected
docker-compose_1,cloud,docker-compose_1,2,STUB,Placeholder code detected
docker-compose_2,cloud,docker-compose_2,2,STUB,Placeholder code detected
docker-compose_3,cloud,docker-compose_3,2,STUB,Placeholder code detected
dockerfile_4,cloud,Dockerfile_4,2,STUB,Placeholder code detected
dockerfile_7,cloud,Dockerfile_7,2,STUB,Placeholder code detected
dockerfile_9,cloud,Dockerfile_9,2,STUB,Placeholder code detected
docker_2,cloud,docker_2,2,STUB,Placeholder code detected
docker_manager,cloud,docker_manager,2,STUB,Placeholder code detected
docker_nightly,cloud,docker_nightly,2,STUB,Placeholder code detected
docker_registry_analyzer,cloud,docker_registry_analyzer,2,STUB,Placeholder code detected
domains,cloud,domains,2,STUB,Placeholder code detected
embedder,cloud,embedder,2,STUB,Placeholder code detected
engagement-planner,cloud,engagement-planner,2,STUB,Placeholder code detected
entrypoint,cloud,entrypoint,2,STUB,Placeholder code detected
env,cloud,env,2,STUB,Placeholder code detected
env_3,cloud,env_3,2,STUB,Placeholder code detected
example-stig-finding,cloud,example-stig-finding,2,STUB,Placeholder code detected
executor_test,cloud,executor_test,2,STUB,Placeholder code detected
exploit-auth,cloud,exploit-auth,2,STUB,Placeholder code detected
exploit-authz,cloud,exploit-authz,2,STUB,Placeholder code detected
exploit-authz_2,cloud,exploit-authz_2,2,STUB,Placeholder code detected
exploit-auth_2,cloud,exploit-auth_2,2,STUB,Placeholder code detected
exploit-injection,cloud,exploit-injection,2,STUB,Placeholder code detected
exploit-xss,cloud,exploit-xss,2,STUB,Placeholder code detected
exploit-xss_2,cloud,exploit-xss_2,2,STUB,Placeholder code detected
export_menu,cloud,export_menu,2,STUB,Placeholder code detected
factory,cloud,factory,2,STUB,Placeholder code detected
fill-legal,cloud,fill-legal,2,STUB,Placeholder code detected
fingerprinter,cloud,fingerprinter,2,STUB,Placeholder code detected
fingerprintertest,cloud,fingerprintertest,2,STUB,Placeholder code detected
fix-workspace-permissions,cloud,fix-workspace-permissions,2,STUB,Placeholder code detected
gcp,cloud,gcp,2,STUB,Placeholder code detected
gcp_recon,cloud,gcp_recon,2,STUB,Placeholder code detected
github-banner,cloud,github-banner,2,STUB,Placeholder code detected
gitleaks,cloud,gitleaks,2,STUB,Placeholder code detected
go_2,cloud,go_2,2,STUB,Placeholder code detected
graphw00f,cloud,graphw00f,2,STUB,Placeholder code detected
hexstrike-logo,cloud,hexstrike-logo,2,STUB,Placeholder code detected
home,cloud,home,2,STUB,Placeholder code detected
index_5,cloud,index_5,2,STUB,Placeholder code detected
javascript,cloud,javascript,2,STUB,Placeholder code detected
js-harvester-agent,cloud,js-harvester-agent,2,STUB,Placeholder code detected
kube-bench,cloud,kube-bench,2,STUB,Placeholder code detected
kube-hunter,cloud,kube-hunter,2,STUB,Placeholder code detected
kubernetes,cloud,kubernetes,2,STUB,Placeholder code detected
launch-config,cloud,launch-config,2,STUB,Placeholder code detected
leaksapi-banner,cloud,leaksapi-banner,2,STUB,Placeholder code detected
leaksapi-logo,cloud,leaksapi-logo,2,STUB,Placeholder code detected
license_5,cloud,LICENSE_5,2,STUB,Placeholder code detected
litellm_provider,cloud,litellm_provider,2,STUB,Placeholder code detected
logo_3,cloud,logo_3,2,STUB,Placeholder code detected
main_13,cloud,main_13,2,STUB,Placeholder code detected
main_menu,cloud,main_menu,2,STUB,Placeholder code detected
makefile,cloud,Makefile,2,STUB,Placeholder code detected
mindmap_obsidian,cloud,mindmap_obsidian,2,STUB,Placeholder code detected
misconfig-detector,cloud,misconfig-detector,2,STUB,Placeholder code detected
misconfigtest,cloud,misconfigtest,2,STUB,Placeholder code detected
mobile-pentester,cloud,mobile-pentester,2,STUB,Placeholder code detected
mode,cloud,mode,2,STUB,Placeholder code detected
orchestrator,cloud,orchestrator,2,STUB,Placeholder code detected
outputs,cloud,outputs,2,STUB,Placeholder code detected
package_3,cloud,package_3,2,STUB,Placeholder code detected
pacu,cloud,pacu,2,STUB,Placeholder code detected
pentestgpt_executor,cloud,pentestgpt_executor,2,STUB,Placeholder code detected
pentestgpt_hackable2,cloud,PentestGPT_Hackable2,2,STUB,Placeholder code detected
plugins,cloud,plugins,2,STUB,Placeholder code detected
pnpm-lock,cloud,pnpm-lock,2,STUB,Placeholder code detected
poc-validator,cloud,poc-validator,2,STUB,Placeholder code detected
pre-recon-code,cloud,pre-recon-code,2,STUB,Placeholder code detected
privesc-advisor,cloud,privesc-advisor,2,STUB,Placeholder code detected
privesc_agent,cloud,privesc_agent,2,STUB,Placeholder code detected
prowler,cloud,prowler,2,STUB,Placeholder code detected
pyproject_3,cloud,pyproject_3,2,STUB,Placeholder code detected
quick-start,cloud,quick-start,2,STUB,Placeholder code detected
readme_21,cloud,README_21,2,STUB,Placeholder code detected
readme_22,cloud,README_22,2,STUB,Placeholder code detected
readme_28,cloud,README_28,2,STUB,Placeholder code detected
readme_29,cloud,README_29,2,STUB,Placeholder code detected
readme_30,cloud,README_30,2,STUB,Placeholder code detected
reconcloud,cloud,reconcloud,2,STUB,Placeholder code detected
reconx,cloud,reconx,2,STUB,Placeholder code detected
release-beta,cloud,release-beta,2,STUB,Placeholder code detected
release_1,cloud,release_1,2,STUB,Placeholder code detected
requirements_7,cloud,requirements_7,2,STUB,Placeholder code detected
resolver,cloud,resolver,2,STUB,Placeholder code detected
results,cloud,results,2,STUB,Placeholder code detected
role-management,cloud,role-management,2,STUB,Placeholder code detected
rollback,cloud,rollback,2,STUB,Placeholder code detected
rsecloud,cloud,rsecloud,2,STUB,Placeholder code detected
s3scanner,cloud,s3scanner,2,STUB,Placeholder code detected
s3_scanner,cloud,s3_scanner,2,STUB,Placeholder code detected
sarif,cloud,sarif,2,STUB,Placeholder code detected
scan_pipeline,cloud,scan_pipeline,2,STUB,Placeholder code detected
scan_running,cloud,scan_running,2,STUB,Placeholder code detected
scout-suite,cloud,scout-suite,2,STUB,Placeholder code detected
screenshot2,cloud,Screenshot2,2,STUB,Placeholder code detected
screenshot3,cloud,Screenshot3,2,STUB,Placeholder code detected
screenshot4,cloud,Screenshot4,2,STUB,Placeholder code detected
secret-scanner-agent,cloud,secret-scanner-agent,2,STUB,Placeholder code detected
secure_credential,cloud,secure_credential,2,STUB,Placeholder code detected
security,cloud,security,2,STUB,Placeholder code detected
security_3,cloud,SECURITY_3,2,STUB,Placeholder code detected
selection_agent,cloud,selection_agent,2,STUB,Placeholder code detected
server_mcp_pentest_18,cloud,server_mcp_pentest_18,2,STUB,Placeholder code detected
service_analyzer,cloud,service_analyzer,2,STUB,Placeholder code detected
service_correlator_1,cloud,service_correlator_1,2,STUB,Placeholder code detected
settings_2,cloud,settings_2,2,STUB,Placeholder code detected
setup,cloud,setup,2,STUB,Placeholder code detected
setup_1,cloud,setup_1,2,STUB,Placeholder code detected
shannon-banner,cloud,shannon-banner,2,STUB,Placeholder code detected
shannon-pro_1,cloud,SHANNON-PRO_1,2,STUB,Placeholder code detected
shannon-report-capital-api,cloud,shannon-report-capital-api,2,STUB,Placeholder code detected
shannon-screen,cloud,shannon-screen,2,STUB,Placeholder code detected
shodan,cloud,shodan,2,STUB,Placeholder code detected
six2dez_reconftw-stars-history,cloud,six2dez_reconftw-stars-history,2,STUB,Placeholder code detected
skill_1,cloud,SKILL_1,2,STUB,Placeholder code detected
skill_14,cloud,SKILL_14,2,STUB,Placeholder code detected
skill_16,cloud,SKILL_16,2,STUB,Placeholder code detected
skill_17,cloud,SKILL_17,2,STUB,Placeholder code detected
skill_4,cloud,SKILL_4,2,STUB,Placeholder code detected
social-engineer,cloud,social-engineer,2,STUB,Placeholder code detected
sponsor-wechat-alipay-qr,cloud,sponsor-wechat-alipay-qr,2,STUB,Placeholder code detected
ssrf_cloud_metadata,cloud,ssrf_cloud_metadata,2,STUB,Placeholder code detected
ssrf_payloads,cloud,ssrf_payloads,2,STUB,Placeholder code detected
stop,cloud,stop,2,STUB,Placeholder code detected
tch,cloud,tch,2,STUB,Placeholder code detected
tcp_beacon_server,cloud,tcp_beacon_server,2,STUB,Placeholder code detected
teardown,cloud,teardown,2,STUB,Placeholder code detected
techdetect,cloud,techdetect,2,STUB,Placeholder code detected
terraform-reconftw,cloud,terraform-reconFTW,2,STUB,Placeholder code detected
test_ad_agent_e2e_smoke,cloud,test_ad_agent_e2e_smoke,2,STUB,Placeholder code detected
test_agents,cloud,test_agents,2,STUB,Placeholder code detected
test_benchmark_cli,cloud,test_benchmark_cli,2,STUB,Placeholder code detected
test_chain_context_discriminator,cloud,test_chain_context_discriminator,2,STUB,Placeholder code detected
test_cli_menu,cloud,test_cli_menu,2,STUB,Placeholder code detected
test_cloud_agent_e2e_smoke,cloud,test_cloud_agent_e2e_smoke,2,STUB,Placeholder code detected
test_container_health,cloud,test_container_health,2,STUB,Placeholder code detected
test_docker_build,cloud,test_docker_build,2,STUB,Placeholder code detected
test_flag_detection,cloud,test_flag_detection,2,STUB,Placeholder code detected
test_litellm_provider,cloud,test_litellm_provider,2,STUB,Placeholder code detected
test_misc_coverage_2,cloud,test_misc_coverage_2,2,STUB,Placeholder code detected
test_probe_ssrf_cloud_metadata,cloud,test_probe_ssrf_cloud_metadata,2,STUB,Placeholder code detected
test_providers_and_small_agents,cloud,test_providers_and_small_agents,2,STUB,Placeholder code detected
test_selection_agent,cloud,test_selection_agent,2,STUB,Placeholder code detected
trufflehog,cloud,trufflehog,2,STUB,Placeholder code detected
type_confusion,cloud,type_confusion,2,STUB,Placeholder code detected
uninstall,cloud,uninstall,2,STUB,Placeholder code detected
usage,cloud,USAGE,2,STUB,Placeholder code detected
usage_input,cloud,usage_input,2,STUB,Placeholder code detected
usage_output,cloud,usage_output,2,STUB,Placeholder code detected
usage_server1,cloud,usage_server1,2,STUB,Placeholder code detected
usage_server2,cloud,usage_server2,2,STUB,Placeholder code detected
variables,cloud,variables,2,STUB,Placeholder code detected
vectordb,cloud,vectorDB,2,STUB,Placeholder code detected
vuln-auth,cloud,vuln-auth,2,STUB,Placeholder code detected
vuln-authz,cloud,vuln-authz,2,STUB,Placeholder code detected
vuln-authz_2,cloud,vuln-authz_2,2,STUB,Placeholder code detected
vuln-auth_2,cloud,vuln-auth_2,2,STUB,Placeholder code detected
vuln-injection,cloud,vuln-injection,2,STUB,Placeholder code detected
vuln-injection_2,cloud,vuln-injection_2,2,STUB,Placeholder code detected
vuln-xss,cloud,vuln-xss,2,STUB,Placeholder code detected
vuln-xss_2,cloud,vuln-xss_2,2,STUB,Placeholder code detected
vulnerability-management,cloud,vulnerability-management,2,STUB,Placeholder code detected
waf-detector-agent,cloud,waf-detector-agent,2,STUB,Placeholder code detected
wafw00f,cloud,wafw00f,2,STUB,Placeholder code detected
web-console,cloud,web-console,2,STUB,Placeholder code detected
wechat-group-cyberstrikeai-qr,cloud,wechat-group-cyberstrikeai-qr,2,STUB,Placeholder code detected
workflow_center,cloud,workflow_center,2,STUB,Placeholder code detected
workspaces,cloud,workspaces,2,STUB,Placeholder code detected
zh-cn,cloud,zh-CN,2,STUB,Placeholder code detected
_10,cloud,_10,2,STUB,Placeholder code detected
__init___119,cloud,__init___119,2,STUB,Placeholder code detected
__init___26,cloud,__init___26,2,STUB,Placeholder code detected
__init___78,cloud,__init___78,2,STUB,Placeholder code detected
auth_1,osint,auth_1,4,STUB,Placeholder code detected
backfill-arch-data,osint,backfill-arch-data,4,STUB,Placeholder code detected
conftest_1,osint,conftest_1,4,STUB,Placeholder code detected
contacts,osint,contacts,1,BROKEN,SyntaxError
cookies,osint,COOKIES,4,STUB,Placeholder code detected
credential_tester_agent,osint,credential_tester_agent,4,STUB,Placeholder code detected
crtsh,osint,crtsh,2,BROKEN,SyntaxError
email-osint-agent,osint,email-osint-agent,2,STUB,Placeholder code detected
environment,osint,environment,5,STUB,Placeholder code detected
holehe,osint,holehe,4,STUB,Placeholder code detected
intel-collection,osint,intel-collection,4,STUB,Placeholder code detected
metadata,osint,metadata,1,BROKEN,SyntaxError
osint,osint,osint,2,STUB,Placeholder code detected
osint-collector,osint,osint-collector,2,STUB,Placeholder code detected
parsers_1,osint,parsers_1,4,STUB,Placeholder code detected
phoneinfoga,osint,phoneinfoga,4,STUB,Placeholder code detected
privacy_detect,osint,privacy_detect,5,STUB,Placeholder code detected
sdk,osint,sdk,4,STUB,Placeholder code detected
smtp-user-enum,osint,smtp-user-enum,4,STUB,Placeholder code detected
social_engineer_agent,osint,social_engineer_agent,4,STUB,Placeholder code detected
splash-screen,osint,splash-screen,5,STUB,Placeholder code detected
test_osint_domain_info_msftrecon,osint,test_osint_domain_info_msftrecon,2,STUB,Placeholder code detected
test_probe_password_reset_weak,osint,test_probe_password_reset_weak,4,STUB,Placeholder code detected
validation,osint,validation,5,STUB,Placeholder code detected
vulnscan,osint,vulnscan,4,STUB,Placeholder code detected
whois_tool,osint,whois_tool,4,STUB,Placeholder code detected
_safety,osint,_safety,4,STUB,Placeholder code detected
__init___125,osint,__init___125,4,STUB,Placeholder code detected
__init___128,osint,__init___128,4,STUB,Placeholder code detected
2dd29513_findings,recon,2dd29513_findings,4,STUB,Placeholder code detected
2dd29513_run_b_safe,recon,2dd29513_run_B_safe,4,STUB,Placeholder code detected
acquifinder,recon,acquifinder,1,BROKEN,SyntaxError
active,recon,active,2,STUB,Placeholder code detected
active-crawl,recon,active-crawl,5,STUB,Placeholder code detected
active_recon,recon,active_recon,1,BROKEN,SyntaxError
active_scanning,recon,active_scanning,4,STUB,Placeholder code detected
active_test,recon,active_test,2,STUB,Placeholder code detected
activities,recon,activities,2,STUB,Placeholder code detected
activity-logger,recon,activity-logger,2,STUB,Placeholder code detected
activity-logger_1,recon,activity-logger_1,2,STUB,Placeholder code detected
activity_feed,recon,activity_feed,2,STUB,Placeholder code detected
ad-attacker,recon,ad-attacker,4,STUB,Placeholder code detected
adapter,recon,adapter,4,STUB,Placeholder code detected
addr,recon,addr,5,STUB,Placeholder code detected
ad_agent,recon,ad_agent,2,STUB,Placeholder code detected
agent,recon,agent,5,STUB,Placeholder code detected
agent-execution,recon,agent-execution,2,STUB,Placeholder code detected
agents,recon,AGENTS,4,STUB,Placeholder code detected
agents_1,recon,AGENTS_1,4,STUB,Placeholder code detected
agent_1,recon,agent_1,2,STUB,Placeholder code detected
agent_3,recon,agent_3,5,STUB,Placeholder code detected
agent_loop,recon,agent_loop,2,STUB,Placeholder code detected
agent_runner,recon,agent_runner,2,STUB,Placeholder code detected
agent_test,recon,agent_test,2,STUB,Placeholder code detected
agent_trace,recon,agent_trace,2,STUB,Placeholder code detected
agent_trace_test,recon,agent_trace_test,2,STUB,Placeholder code detected
alerts,recon,alerts,4,STUB,Placeholder code detected
alerts_1,recon,alerts_1,4,STUB,Placeholder code detected
alienvault,recon,alienvault,5,STUB,Placeholder code detected
alterx,recon,alterx,4,STUB,Placeholder code detected
amass,recon,amass,4,STUB,Placeholder code detected
amass_2,recon,amass_2,4,STUB,Placeholder code detected
analyze_repos,recon,analyze_repos,2,STUB,Placeholder code detected
anomaly_detector,recon,anomaly_detector,4,STUB,Placeholder code detected
anomaly_engine,recon,anomaly_engine,4,STUB,Placeholder code detected
anthropic,recon,anthropic,4,STUB,Placeholder code detected
anthropic_agent,recon,anthropic_agent,2,STUB,Placeholder code detected
anthropic_official,recon,anthropic_official,2,STUB,Placeholder code detected
anubis,recon,anubis,5,STUB,Placeholder code detected
apex,recon,apex,5,STUB,Placeholder code detected
api,recon,api,2,STUB,Placeholder code detected
api-discoverer-agent,recon,api-discoverer-agent,2,STUB,Placeholder code detected
api-discovery,recon,api-discovery,2,STUB,Placeholder code detected
api-discoverytest,recon,api-discoverytest,2,STUB,Placeholder code detected
api-docs,recon,api-docs,2,STUB,Placeholder code detected
api-schema-analyzer,recon,api-schema-analyzer,2,STUB,Placeholder code detected
api-security,recon,api-security,2,STUB,Placeholder code detected
apitest,recon,apitest,2,STUB,Placeholder code detected
api_attack_surface,recon,api_attack_surface,4,STUB,Placeholder code detected
api_authentication,recon,api_authentication,2,STUB,Placeholder code detected
api_fingerprint,recon,api_fingerprint,4,STUB,Placeholder code detected
api_models,recon,api_models,4,STUB,Placeholder code detected
api_path_discovery,recon,api_path_discovery,4,STUB,Placeholder code detected
api_pipeline,recon,api_pipeline,2,STUB,Placeholder code detected
api_security_agent,recon,api_security_agent,2,STUB,Placeholder code detected
api_surface_mapper,recon,api_surface_mapper,2,STUB,Placeholder code detected
app,recon,app,2,STUB,Placeholder code detected
apply_triage_labels,recon,apply_triage_labels,2,STUB,Placeholder code detected
app_2,recon,app_2,2,STUB,Placeholder code detected
app_3,recon,app_3,2,STUB,Placeholder code detected
app_config,recon,app_config,2,STUB,Placeholder code detected
aquatone,recon,aquatone,2,STUB,Placeholder code detected
arbiter,recon,arbiter,2,STUB,Placeholder code detected
architect-infer-agent,recon,architect-infer-agent,5,STUB,Placeholder code detected
architecture,recon,ARCHITECTURE,4,STUB,Placeholder code detected
architecture_1,recon,ARCHITECTURE_1,4,STUB,Placeholder code detected
architecture_2,recon,ARCHITECTURE_2,2,STUB,Placeholder code detected
arjun_tool,recon,arjun_tool,2,STUB,Placeholder code detected
artifact-manifest,recon,artifact-manifest,2,STUB,Placeholder code detected
asn,recon,asn,3,BROKEN,SyntaxError
asncache,recon,asncache,5,STUB,Placeholder code detected
asnmap,recon,asnmap,4,STUB,Placeholder code detected
asn_intel,recon,asn_intel,1,BROKEN,SyntaxError
assetfinder,recon,assetfinder,4,STUB,Placeholder code detected
assets,recon,assets,5,STUB,Placeholder code detected
assets_test,recon,assets_test,5,STUB,Placeholder code detected
asset_classifier,recon,asset_classifier,4,STUB,Placeholder code detected
asset_decode,recon,asset_decode,5,STUB,Placeholder code detected
asset_secrets_scan,recon,asset_secrets_scan,4,STUB,Placeholder code detected
assoc,recon,assoc,5,STUB,Placeholder code detected
asvs-mapper,recon,asvs-mapper,2,STUB,Placeholder code detected
async_prompt,recon,async_prompt,2,STUB,Placeholder code detected
attach,recon,attach,2,STUB,Placeholder code detected
attach_test,recon,attach_test,2,STUB,Placeholder code detected
attack-chain,recon,attack-chain,4,STUB,Placeholder code detected
attack-planner,recon,attack-planner,4,STUB,Placeholder code detected
attack-surface-enumeration,recon,attack-surface-enumeration,4,STUB,Placeholder code detected
attackchain,recon,attackchain,2,STUB,Placeholder code detected
attack_surface_mapper,recon,attack_surface_mapper,4,STUB,Placeholder code detected
attack_surface_mapping,recon,attack_surface_mapping,4,STUB,Placeholder code detected
audit,recon,audit,2,STUB,Placeholder code detected
audit-logger,recon,audit-logger,2,STUB,Placeholder code detected
audit-session,recon,audit-session,2,STUB,Placeholder code detected
audit_1,recon,audit_1,2,STUB,Placeholder code detected
aup_consent,recon,aup_consent,2,STUB,Placeholder code detected
auth,recon,auth,4,STUB,Placeholder code detected
auth-flow-analyzer,recon,auth-flow-analyzer,5,STUB,Placeholder code detected
authed-findings,recon,authed-findings,4,STUB,Placeholder code detected
authed-stderr,recon,authed-stderr,2,STUB,Placeholder code detected
authenticated_scan,recon,authenticated_scan,4,STUB,Placeholder code detected
auth_2,recon,auth_2,2,STUB,Placeholder code detected
auth_analyzer,recon,auth_analyzer,2,STUB,Placeholder code detected
auth_cache,recon,auth_cache,2,STUB,Placeholder code detected
auth_handler,recon,auth_handler,4,STUB,Placeholder code detected
auth_manager,recon,auth_manager,2,STUB,Placeholder code detected
auth_session,recon,auth_session,4,STUB,Placeholder code detected
autnum,recon,autnum,5,STUB,Placeholder code detected
autsys,recon,autsys,5,STUB,Placeholder code detected
autsys_1,recon,autsys_1,5,STUB,Placeholder code detected
axiom,recon,axiom,5,STUB,Placeholder code detected
backend,recon,backend,2,STUB,Placeholder code detected
backlog,recon,backlog,5,STUB,Placeholder code detected
backlog_1,recon,backlog_1,5,STUB,Placeholder code detected
backlog_test,recon,backlog_test,5,STUB,Placeholder code detected
banner,recon,banner,4,STUB,Placeholder code detected
banners,recon,banners,5,STUB,Placeholder code detected
banner_3,recon,banner_3,2,STUB,Placeholder code detected
banner_analyzer,recon,banner_analyzer,2,STUB,Placeholder code detected
banner_url,recon,banner_url,5,STUB,Placeholder code detected
base,recon,base,4,STUB,Placeholder code detected
base-agent,recon,base-agent,2,STUB,Placeholder code detected
base_1,recon,base_1,2,STUB,Placeholder code detected
base_3,recon,base_3,4,STUB,Placeholder code detected
base_5,recon,base_5,2,STUB,Placeholder code detected
base_tool,recon,base_tool,2,STUB,Placeholder code detected
basic_scan,recon,basic_scan,2,STUB,Placeholder code detected
batch_task,recon,batch_task,2,STUB,Placeholder code detected
batch_task_manager,recon,batch_task_manager,2,STUB,Placeholder code detected
batch_task_mcp,recon,batch_task_mcp,2,STUB,Placeholder code detected
beacongo,recon,beacongo,2,STUB,Placeholder code detected
beacon_host,recon,beacon_host,2,STUB,Placeholder code detected
benchmark_juice_shop,recon,benchmark_juice_shop,2,STUB,Placeholder code detected
bevigil,recon,bevigil,5,STUB,Placeholder code detected
bigbountyrecon,recon,bigbountyrecon,1,BROKEN,SyntaxError
billing-detection,recon,billing-detection,2,STUB,Placeholder code detected
binaryedge,recon,binaryedge,5,STUB,Placeholder code detected
bing,recon,bing,5,STUB,Placeholder code detected
blackbox-config-agent,recon,blackbox-config-agent,5,STUB,Placeholder code detected
blackbox-context,recon,blackbox-context,4,STUB,Placeholder code detected
blacklist_test,recon,blacklist_test,5,STUB,Placeholder code detected
bloodhound,recon,bloodhound,2,STUB,Placeholder code detected
book,recon,book,2,STUB,Placeholder code detected
browser-crawler-agent,recon,browser-crawler-agent,5,STUB,Placeholder code detected
browser_agent,recon,browser_agent,4,STUB,Placeholder code detected
brute,recon,brute,2,STUB,Placeholder code detected
bruteforce-ftp,recon,bruteforce-ftp,2,STUB,Placeholder code detected
bruteforce-http,recon,bruteforce-http,2,STUB,Placeholder code detected
bruteforce-rdp,recon,bruteforce-rdp,2,STUB,Placeholder code detected
bruteforce-smb,recon,bruteforce-smb,2,STUB,Placeholder code detected
bruteforce-ssh,recon,bruteforce-ssh,2,STUB,Placeholder code detected
brute_test,recon,brute_test,2,STUB,Placeholder code detected
bucket_exposure_engine,recon,bucket_exposure_engine,2,STUB,Placeholder code detected
bufferover,recon,bufferover,5,STUB,Placeholder code detected
bufferoverrun,recon,bufferoverrun,5,STUB,Placeholder code detected
bug,recon,bug,2,STUB,Placeholder code detected
bug-bounty,recon,bug-bounty,4,STUB,Placeholder code detected
bug_2,recon,bug_2,2,STUB,Placeholder code detected
bug_report_2,recon,bug_report_2,2,STUB,Placeholder code detected
bug_report_3,recon,bug_report_3,4,STUB,Placeholder code detected
build,recon,build,2,STUB,Placeholder code detected
build-mvn,recon,build-mvn,2,STUB,Placeholder code detected
build-test,recon,build-test,4,STUB,Placeholder code detected
builder,recon,builder,5,STUB,Placeholder code detected
builtin-tools,recon,builtin-tools,2,STUB,Placeholder code detected
builtwith,recon,builtwith,5,STUB,Placeholder code detected
burpextender,recon,BurpExtender,2,STUB,Placeholder code detected
burpextender1,recon,BurpExtender1,2,STUB,Placeholder code detected
burp_client,recon,burp_client,2,STUB,Placeholder code detected
burp_commands,recon,burp_commands,2,STUB,Placeholder code detected
burp_suite,recon,burp_suite,4,STUB,Placeholder code detected
business-logic-agent,recon,business-logic-agent,2,STUB,Placeholder code detected
business_logic_fuzz,recon,business_logic_fuzz,2,STUB,Placeholder code detected
c1ae665a_findings,recon,c1ae665a_findings,4,STUB,Placeholder code detected
c1ae665a_run_a_default,recon,c1ae665a_run_A_default,4,STUB,Placeholder code detected
c2-operator,recon,c2-operator,4,STUB,Placeholder code detected
c2_1,recon,c2_1,5,STUB,Placeholder code detected
c2_hitl_bridge,recon,c2_hitl_bridge,2,STUB,Placeholder code detected
c2_lifecycle,recon,c2_lifecycle,2,STUB,Placeholder code detected
c2_tools,recon,c2_tools,2,STUB,Placeholder code detected
c99,recon,c99,5,STUB,Placeholder code detected
capability_map,recon,capability_map,2,STUB,Placeholder code detected
captcha_replay,recon,captcha_replay,2,STUB,Placeholder code detected
categories,recon,categories,4,STUB,Placeholder code detected
censys,recon,censys,5,STUB,Placeholder code detected
censys_test,recon,censys_test,5,STUB,Placeholder code detected
certspotter,recon,certspotter,5,STUB,Placeholder code detected
certspotter_2,recon,certspotter_2,5,STUB,Placeholder code detected
cgo_specific,recon,cgo_specific,2,STUB,Placeholder code detected
